category,text,dset,scores
mechanical or equipment issue,"wrong gasket fitted to flange.   on the de-interface of the methanol tank on loggs it was identified that there was a leak from the manway door. it was noted that the original joint used on the tank was a 24” 150# spwd gasket, however a cnaf gasket had been installed. issue was raised and highlighted to all parties, decision was made to re-tension the manway door on the methanol tank in an attempt to seal the leak and unfortunately the attempt failed. agreement made to seal the joint with a compound as the head of the liquid could not be emptied. vendor  mobilized to seal the joint, correct gasket 'fast tracked' to site.",ORGP,1
covid,person in camp tested positive to covid 19.  person in camp tested positive to covid 19. required to isolate by at least 10 day required to isolate by at least 10 day,ORGP,1
"vehicle incident general, foot or leg injury","struck by object falling from vehicle or machinery-other than vehicle part an employee injured his leg while delivering some pipe to the rio blanco laydown yard off of county road 5 in mesa county, colorado. the employee was helping the driver remove the pipe from a flat bed. when he removed the pipe bindings, one of the pipes fell off and struck his leg.",OSHA,1
lifting or moving loads,"superficial damage to crane. fork lift operator delivered and staged outrigger pads for mobile crane (tadano gr-750xl). after the fork lift operator positioned the (l) rear outrigger pad into place. the operator started to back out and turned while the back rest was still boomed out causing the (r) back rest to come in contact with the cranes (l) rear outrigger extension cylinder guard, resulting in minor equipment damage. the fork lift operator was utilizing two team members as spotters. fork lift operator and the spotters immediately stopped job task and notified supervisor, supervisor notified safety. fork lift operator and the spotters immediately stopped job task and notified supervisor, supervisor notified safety.",ORGP,1
slips & trips,"fall on same level due to slipping  an employee was delivering mail on his route when he slipped and fell on ice, tearing his quadriceps tendon.",OSHA,2
eye injury or irritation,"potential forign body to the eye a pgi employee (ip) (welder helper) removed their ppe while boarding transport bus at cob. while removing their ppe, ip felt what they believed to be a particle fall in their eye and was unable to remove it by eye wash. the ip was taken to medi-camp for treatment. the eye was flushed, and surrounding area swabbed. no particle was found during examination/treatment and was released by medi-camp. the following day ip reported continued eye irritation and was taken to odessa er for further evaluation. the er discovered an ocular ulcer, likely caused by ip rubbing effected area during contamination and confirmed no foreign bodies remained. the ip received first aid only and was released to full duty. the employee flushed his eye with bottle wash and then employee was taken to the medicamp for treatment.",ORGP,1
foot or leg injury,"struck against stationary object or equipment, unspecified an employee was carrying breadsticks out of the walk-in freezer when a piece of metal on the freezer door sliced his foot open.",OSHA,1
hand or arm injury,"mechanical team member was torqueing bolts when the 1/4"" adapter snapped causing a small abrasion to the ip's left thumb. at approximately 08:30 am, a mechanical team member was torqueing nuts on a bha assembly when the 1/4"" adapter impact snapped causing the broken adapter to penetrate his left a8 cut resistant/impact glove resulting in a 1” superficial laceration to his left thumb above the knuckle. the actual rating was chosen as a b1 due to the first aid treatment provided (cleaning and bandaging). the potential rating of a b2 was chosen due to the severity of the injury having the potential to require a medical treatment. scene was frozen is a safe condition, all work in the immediate area was ceased pending reassessment of task. management and safety notified. ip was transported to safety office where first aid treatment (cleaning and bandaging of the wound) was provided. photos and statements were collected. team member is doing well and has returned to normal work duties without restrictions.",ORGP,1
hand or arm injury,"struck against moving part of machinery or equipment an employee was using a chop saw to cut a stack of pallet boards when his left-hand fingers made contact with the rotating saw blade, amputating his middle and pointer fingers down to the third knuckle. his thumb was still partially attached at the time of the incident.",OSHA,1
hand or arm injury,"compressed or pinched by shifting objects or equipment an employee was emptying a self-tipping dumpster that was attached to the forks of a forklift. he tilted the forks forward to help facilitate the dumping of the dumpster. he then got out of the cab of the forklift, walked to the side of the forklift mast, and placed his left hand on the lower portion of the mast. he reached up with his right hand and disengaged the release lever on the back of the self-tipping dumpster, causing the dumpster to quickly shift forward. the resulting shift in weight of the dumpster caused the forklift forks to swing back into the mast, pinching the employee's ring finger between the forks and mast. the tip of his ring finger digit was amputated.",OSHA,2
mechanical or equipment issue,"loss of power to beatrice alpha migrated from legacy cairs incident #32302the platform was running on two emergency generators, due to a water leak on the imported power package (ipp). this was being investigated by the mechanical dept. at 1625, the ap was supplied via the ap emergency generator; the ad was supplied via the ad emergency generator.at 1930 the ap generator tripped (low lube oil). the ad emergency generator was supplying the ad platform. issues with the cross bridge link, therefore no power available to ap from ad.at 2045 the ad generator tripped, causing the platform to lose power.at 2115 the esd overrides were applied on ap, allowing the ad generator to be restarted. power was re-instated to the ad platform.at 0710 (time of writing report); fault finding was continuing on the ap generator (low lube oil) fault.update 09/03/17during on going fault finding and investigation into the ap generator on the 3rd march it was discovered that fuses had been removed from 4b2 – these are for the power protection relay circuit, increasing the likelihood of the ap generator being in reverse power. although this is not the cause for the power trip it may have caused damage to the generator. electrical department are conducting tests and receiving guidance from onshore. on further investigation it was found that there was an ssic in place(0072) during the power issues but was for the removal of fuses in a completely different cabinet. all of the keys for these cabinets are controlled by the electrical department. further investigation is on going. migrated from legacy cairs - see detailed description",ORGP,1
hand or arm injury,"caught in running equipment or machinery during maintenance, cleaning  an employee was helping to clear a pallet jam in a pallet exchange machine when the pallet machine released and pinched his left middle fingertip, resulting in a fingertip amputation.",OSHA,1
slips & trips,"fall on same level, n.e.c.  an employee opened an electrical switching cubicle with 7,200-volt electrical lines to repair a dead line. he lost his footing and fell forward into the electrical switching cubicle, making contact with the energized electrical lines. he received electrical burns to his left arm and left knee, requiring hospitalization.",OSHA,2
dropped object or material,"scaffold board giving way while walking on top of it 1a street on 9th of february a ponticelli/sices worker was walking on a scaffold with overlap floors around a construction beam. when he stepped onto the overlap floor, the overlap floor flipped up due to the fact that the overlap floor was not placed in a proper way and dully secured. scaffold closed, scaffold supervisors involved and overlapping board issue rectified",ORGP,1
"slips & trips, foot or leg injury","fall on same level due to tripping, unspecified an employee and fell while walking to retrieve a seat cushion, suffering a broken ankle.",OSHA,1
