category,text,dset
covid,"05 wood employees were tested positive for covid-19. 05 wood employees who were showing mild covid-19 symptoms had to undergo a pcr test. unfortunately, the results returned as positive. the individuals are awaiting to be transferred to the dedicated quarantine facility, national isolation centre and will require to return with 2 negative tests after which the individuals will be released for another 7 days self-isolation.",ORGP
"alcohol or drugs, lifting or moving loads, back injury, vehicle incident general","a wood pick up truck driver side made contact with another vehicle's mirror. on december 21, a wood. employee was driving down mt-hwy 59 going about 58-60 mph.  before driving on on hwy 59 the driver was on interstate 94,  the road was clean and clear.  once the driver turned south on mt hwy 59 (2-line road), the road had more snow on it.    the driver was about 100 yards behind the semi truck.  the driver stated that there every time a vehicle past it  it caused a cloud of snow dust, making visibility poor.  as the traffic was making going around a curve, it caused white out conditions.  at this point the driver felt the hit on the driver side mirror.  the driver than pulled over to check the damage and waited about 5-7 minutes to see if anyone came back, no one did.  because of unsafe road conditions and on cell service the driver decided to drive off to find cell service.  the actual is c1, minor loss/damage/business impact (<10k) and potential, c2 moderate loss/damage/business impact (10-100k)  driver pulled over to wait for other driver.  he waited about 8-10 minutes but now one came back.  the driver decided to leave for safety concerns (this was a busy 2-line road and not much of a shoulder).  the driver did not have cell service.  the driver decided to start driving to pull over and find a safe place to get cell service or to broadus, montana.  before broadus, mt. there was a montana highway patrol officer waiting from him.  the officer took the wood. drivers statement and information.  the employee did an post alcohol and drug test and it came back negative.",ORGP
"slips & trips, head or face injury","ip cut to head while exiting the confined space of the 5301 mud drum, the ip's hard hat fell off of his head, and onto the scaffold the crew was using the access the drum.  as the ip was continuing his exit, and to retrieve his hard hat, he struck his head on the entranceway to the mud drum, causing a small laceration with bleeding the ip reported the incident and reported to safety.  a personnel were notified and client medic arrived to provide treatment, and to give an evaluation to rule out any internal injury..  the site was cleaned, and an ice pack given to prevent potential swelling of the site, and was instructed to return to safety before the end of the day for further evaluation.",ORGP
*** Not Classified,"gpa activated due to repeating fault on sd:143 smoke detector in bop void. migrated from legacy cairs incident #35805on the 21st of october at approx. 12:03 the gpa was activated due to a repeating fault on sd:142 smoke detector in the bop void. no personnel were working on the bravo at the time of the alarm. all personnel advised to not cross the bridge until the alarm was investigated. at 12:10 the pic, an electrical and an instrument tech crossed over to bravo to investigate. on arrival at the control room it was noticed that the smoke detector was in alarm in the bop void area. the area was checked and was all clear.ensco 80 oim was then informed and the bridge walkway was reopened. migrated from legacy cairs - see detailed description",ORGP
fire,"an employee was short arc welding inside the iron shop when the junction box popped and started a small fire at the box.  the fire was quickly extinguished and the main was disconnected. migrated from legacy cairs incident #34173on monday, july 3, 2017 at the infinity construction fab shop an employee was short arc welding inside the iron shop when the junction box popped and started a small fire at the box. the fire was quickly extinguished and the main was disconnected. migrated from legacy cairs - see detailed description",ORGP
foot or leg injury,"sub-contractor employee inadvertently struck his right knee on scaffold structure. sub-contractor employee was in the process of verifying isolations in the well bay area. while conducting this activity, employee's knee inadvertently came into contact with a scaffold structure. there is no evidence to suggest the injury could have occurred to more than one person and no more than a first aid treatment. employee immediately reported to platform medic and was assessed and treated.",ORGP
back injury,"low back pain employee experienced pain in lower back while reaching to put a sample into the microwave. employee contacted workcare and received self-care first-aid advice.  employee then sought treatment at a clinic and was released to work with some physical limitations.  the limitations, however, do not impact the employee's normal duties.  therefore, this is a first-aid only incident.",ORGP
"slips & trips, hand or arm injury, head or face injury","employee was assisting mechanic in changing out a head on gas compressor when he tripped and fell. migrated from legacy cairs incident #31296employee was assisting mechanic in changing out a head on gas compressor. he pulled the chain on the trolley to move the equipment to opposite side of the compressor in order to lift replacement head. due to the uncertainty whether the lift would clear any obstacles, the employee turned to walk over to determine if path was clear and tripped on an old compressor head which had been removed previously. he extended his left arm to break fall and jammed wrist and struck head on deck causing a small laceration to forehead. he reported to platform safety rep where it laceration was cleaned and antibiotic ointment and a band aid was placed on the cut. he also put an ice pack on his wrist. he remains offshore. migrated from legacy cairs - see detailed description",ORGP
"lifting or moving loads, vehicle incident general, foot or leg injury","a wood lease operator was driving around a blind corner on a service road while leaving the field in the late afternoon and met an oncoming vehicle.  the vehicles contacted each other on the driver’s side causing damage to both vehicles.  no injuries migrated from legacy cairs incident #40308the wood lease operator was driving south on a snow-covered service road leaving that area of the field. he was driving 20-25 mph, approaching a left-hand blind corner that was located at the top of a hill. the corner was approximately 300 yards north of the intersection with the schoonover county road. as the lease operator was driving around the corner, he encountered a northbound suv that was driving up the hill around the same corner. both vehicles met in the middle of the corner and swerved to avoid contact but stilled contacted each other on their driver’s sides. the wood truck’s rear quarter panel behind the tire, rear bumper and tail light contacted the other vehicle’s driver’s door, rear passenger door and quarter panel in front of the gas cap. the other vehicle was traveling 20-25 mph. the wood truck was driving in the gravel exposed part of the road with the right wheels but was still over the center of the road because of the width of the road. the oncoming vehicle was driving more over the center of the road because of the accumulation of snow on the right side of the road. there were no injuries. the local law enforcement was called to investigate the incident, but only required the drivers to give information over the phone. there was no fault assigned to either of the drivers. there were no injuries. pictures attached. note: i used my coat to mark the contact point. migrated from legacy cairs - see detailed description",ORGP
covid,person in camp tested positive to covid 19.  person in camp tested positive to covid 19. required to isolate by at least 5 days required to isolate by at least 5 days,ORGP
foot or leg injury,"maintenance worker (ip) twisted knee whilst accessing small space next to grease contactor ip was checking a control valve on top of the contactor on the grease mezzanine at the lubes terminal. a pallet packed with additive bags was placed in front on the contactor on its platform on the mezzanine level, constricting the space on this platform. to get a better view of the positioner, the ip had to squeeze through to get on the other side of the valve (on its left side looking at the contactor/ facing north). when ip was squeezing through the gap between the pallet of additives and the contactor vessel itself, their foot got caught on the contactor which twisted their leg clockwise causing pain the side of his knee. medical assessment at off-site clinic; investigation commenced.",ORGP
"lifting or moving loads, vehicle incident general, foot or leg injury",wgpacs employee was backing out of parking spot and struck a vehicle that was parked behind him. there were no injuries. migrated from legacy cairs incident #32041wgpacs employee was backing out of parking spot and struck a vehicle that was parked behind him. there were no injuries. 3rd party vehicle sustained a small dent to the rear quarter panel and wgpacs vehicle sustained a small scratch to the bumper. migrated from legacy cairs - see detailed description,ORGP
"slips & trips, foot or leg injury","a supervisor crosses a structure, stumbles and falls to floor level and as a result suffers from scratches and superficial lacerations. at approximately 11:20 a.m. from thursday, november 28, a supervisor walks on the roof of the water cistern located on the east side at priority 1.  the supervisor crosses the concrete structure or beam, stumbles, loses his balance and falls to the same level, hitting his right knee with the concrete slab causing scratches and superficial lacerations.the supervisor is transferred to the facility's medical service for his attention and evaluation. scratches were cleaned and covered to prevent infections, preventive medications were provided (anti-inflammatory and / or analgesic).",ORGP
theft,team member was out at the swimming pool of the hotel and left my phone next to the swimming pool unattended and was stolen. team member was out at the swimming pool of the hotel and left my phone next to the swimming pool unattended and was stolen. made a report with wood it department,ORGP
