category,text,dset
"hydraulic fluid or oil leak, foot or leg injury","hydraulic tensioning machine tensioning head pulled of stud as it was not fully engaged.  no injuries migrated from legacy cairs incident #30802work was part of the molecular sieve change out shutdown. work was on dehydrator bed 4task being undertaken was tensioning bolts on the outlet flange using a hydraulic tensioning machinework crew consisted ofclient senior mechanical technician,client maintenance technician 2 (original permit holder (ph), wg maintenance supplement labour x 2client maintenance tech 2 wanted to clarify the tensioning values on the bolts so left the worksite to verify in the office. bolts are in pattern a, b, a, b and so on. a bolts have a different tension value to b boltsclientmaintenance tech 2 left clear instructions to client sen mech tech and wg x 2 not to do any tensioning until he returnedclient sen mech tech ignored this instruction and the moved forward with the tensioning. wg personnel spoke up explaining they were not to work however they were ignored. during the task that followed, undertaken by client personnel only, one of the tensioning heads was not engaged properly on a stud and it pulled off resulting in the tensioning head dropping to grade (est 1m above, refer photos in attachment). minor hydraulic fluid leak also occurred.wg involvement as assistant labour to mechanical technicians. wg personnel were not operating the hydraulic tensioning machine. (l02nm, irat 100) migrated from legacy cairs - see detailed description",ORGP
vehicle incident general,driver entering underground car park when door lowered damaging roof antenna on vehicle migrated from legacy cairs incident #33825driver entering underground car park when door lowered damaging roof antenna on vehicle migrated from legacy cairs - see detailed description,ORGP
general injury,"the ip was working inside the robot cell carrying out a routine task when stood up his hard hat caught the sealer nozzle which caused neck to jerk back. at this point the ip lay down on the floor and waited for assistance. migrated from legacy cairs incident #38134ipwas working inside the robot cell carrying out a routine task when stood up his hard hat caught the sealer nozzle which caused neck to jerk back. at this point kevin lay down on the floor and waited for assistance. kevin suffered minor cut to his during this time, unsure what caused the cut.ipwas attend by first aiders until the ambulance arrived to take him to hospital for assessment.iphad follow the correct procedure for entering the cell and had the correct ppe according to our rams.fox safety were notified of the incident and attend site with 5 minutes. migrated from legacy cairs - see detailed description",ORGP
eye injury or irritation,"suspected foreign body in left eye  whilst entering into fab shop, water from tarp roof fell onto hardhat  and inside safety glasses  ip walked over to the bilfinger site offices where he was assisted by a aamecfw first aider who washed his left eye  ",ORGP
covid,employee communicated a positive confirmation for covid-19  an employee reported a confirmed positive test for covid-19 to site management. the employee has been in isolation since february 17th. wood is identifying those who may have worked in proximity.  appropriate notifications have been completed. this is the second positive result for the 22nd  of february.,ORGP
covid,"wood team member tested positive for covid-19 wood team member received a positive test result for covid 19, a wood team member's friend tested positive for covid19, experiencing mild symptoms. as a result, the team member took a test and received a positive result for covid 19. team member is experiencing mild symptoms. team member, reported to hssesome recommendations were sent to the employee by hsse",ORGP
vehicle incident general,"employee driving a wood vehicle gor rear-ended while driving southbound on 214 north main st. in chase city, va the affected employee was rear-ended while driving a company issued vehicle southbound on north main street in chase city, va. the incident occurred at approximately 0715. weather conditions were overcast, and roads were dry. no injuries were reported. there is moderate damage to driver’s side rear bumper, tail lights, quarter panel, and tailpipe. the incident was reported to the local police department and wood site superintendent. the officer on scene determined that the other driver was at fault for following too close. the affected employee wasreleased from the scene and immediately received a medical evaluation from onsite emt and was released back to work.			 the local police department and wood management was notify of the accident.  wood employee was evaluated by the onside emt, and then released to go back to work with no further issues.  an investigation was initiated.   ",ORGP
*** Not Classified,"while welding a flangeolet onto the maintenance flare system, the work party heard a burst of air under pressure coming from the pilot hole, felt heat from the air and personal monitor was activated. no injuries or asset damage. migrated from legacy cairs incident #39850on tuesday 2nd october 2018 work was underway to install a branch fitting for a flow transmitter on an 8"" line flowing from the maintenance flare knockout drum to the maintenance flare. this was a scope of work outlined by shell, designed by wood psdp from the galway office, and controlled by wood pscs at bbgt. all perimetry and associated method statement risk assessments were developed by the wood site team. shell implemented isolations associated with the task and approved the permit to work submitted by wood. the work involved drilling a 34mm diameter hole into the 8” line and then welding a fitting (flangeolet) on top of this hole to facilitate the installation of the flow transmitter. after the 34mm hole had been drilled into the line and the initial tacking of the fitting was completed, final welding of the fitting commenced. after about 2 minutes into the welding operation a sudden single burst of pressurised warm air came out through the 34mm hole which was heard and heat haze was seen by the work party. work was stopped immediately, and the work party left the habitat and reported the incident to the control room. migrated from legacy cairs - see detailed description",ORGP
*** Not Classified,theft over the weekend of plastic water sprayers on site from outside of the cabin theft over the weekend of plastic water sprayers (used to dampen soil) left outside of site cabin over the weekend  get replacement water sprayers to continue work. discussion on placing the sprayers inside the cabin over the weekend and overnight reorganising the packing of the cabin.,ORGP
theft,"high voltage cable stolen from laydown area  approximately 185 meters of high voltage cable was stolen after thieves cut through the site laydown perimeter fencing  and removed 185 meters of cable from its drum scene of theft  secured, gent police informed and perimeter fencing repaired  ",ORGP
