category,text,dset
"vehicle incident general, vehicle Incident involving animal","wgpacs employee was heading to site location when a deer ran out in front of his vehicle, making contact with the front driver side fender and head light. migrated from legacy cairs incident #30354wgpacs employee was driving south on 74th ave nw on his way to the site location. it was roughly 6 a.m. and still dark outside. the deer came out of the ditch headingeastwards. when the employee saw the deer he slammed on his brakes but wasn't able to avoid hitting the deer. the deer made contact with the front driver side fender and head light. there were no injuries as a result of this incident. migrated from legacy cairs - see detailed description",ORGP
*** Not Classified,employee found within the operational plant area that did not have plant induction and did not have escape mask as required during an inspection of the work area a client employee identified one of the contractor employees in the work area who did not have plant  induction. the employee also did not have on his person an escape mask as required for personnel visiting the work area.the employee was a replacement welder who was taken to site by the construction manager of the appointed m&p contractor to show him the area where work was to be done whilst they were waiting for the operations induction session to start. employee was taken off site to go and complete the plant induction.incident was loaded onto cairs the following day and investigation process started.plant area visited section of the unit confirmed offline and cleaned out,ORGP
eye injury or irritation,employee felt irritation in both eyes employee was moving material at the sfc's in the bottom ash work area when he felt an irritation in both eyes. the employee told his supervisor and was brought to the safety department.  basic first aid administered in safety office,ORGP
vehicle incident general,"wgpacs employee was driving client vehicle on cr 240 when he noticed an oncoming vehicle loosing control and coming into his lane due to wet roads. wgpacs employee pulled off the road so he would not be hit but made contact with a traffic sign. migrated from legacy cairs incident #28901wgpascs employee was driving a cop vehicle on cr 240. employee noticed an oncomingvehicle loosing control and coming into his lanedue to wet roads. wgpacs employee reacted by pulling off the road into the shoulder lane. employee made contact with a traffic sign, causing damage to the passenger side mirror, back door and bed of truck. migrated from legacy cairs - see detailed description",ORGP
covid,a wood employee tested positive for covid-19.  a wood employee received a positive covid-19 test result on 2/2/2021.  the wood employee was not experiencing symptoms and scheduled a covid 19 test which was a positive result.  contact tracing has been completed. employee has self quarantined and has notified management.  wood on site management has conducted contact tracing and notification to client.,ORGP
"weather related issue, foot or leg injury","mtc; waiward; laceration lower right leg; ks-2017-0053 two workers were in the process of securing material in v2 laydown.  a gust of wind pick up two pieces of skirting material (plywood) and contacted the ip as he was about to secure another piece.  the contact caused a laceration on the back of the ip's lower right leg. work was stopped and scene was frozen. ip was taken to onsite medic clinic where leg was assessed, ip was referred to regina hospital for further assessment. 12 sutures were required to close the wound. investigation initiated. ",ORGP
"vehicle incident general, foot or leg injury","tool trailer was broken into over the weekend at libby-dcp project migrated from legacy cairs incident #38232tool trailer was broken into over the weekend at the libby dcp project in lea countyhobbs, nm area. this location is pretty isolated in the middle of no where. migrated from legacy cairs - see detailed description",ORGP
*** Not Classified,while manually moving plastic drum employee had finger caught between drum and fuel tank. migrated from legacy cairs incident #36343on 1/26/18 at approx. 8:00 am an employee was attempting to relocate 55 gallon plastic drum filled with def fluid closer to fuel tank for storage. while making his final adjustments the drum tipped toward the fuel tank the employee attempted to catch tipping drum resulting in the right index finger being caught between drum and fuel tank. he immediately notified supervisor and first aid measures were administered onsite. it was then determined that medical care was needed. hsse transported injured employee to nearest medical facility. migrated from legacy cairs - see detailed description,ORGP
hand or arm injury,"rupture of paint can left under the driver’s seat in pickup migrated from legacy cairs incident #37834on the morning of april 20th after the morning safety meeting an employee went out to start his pickup and discovered that a paint can was left under the driver’s seat in pickup 120-1148 that was parked from the night before. the paint can must have rolled out from under the driver’s seat on the floorboard unnoticed next to the lebasted heater that is installed on the floorboard of the pickup underneath the back seat behind the driver and got heated up until it ruptured sometime during the night. there is paint splatter on the back floorboard, console and headliner in the pickup. there were no injuries or harm to the environment. migrated from legacy cairs - see detailed description",ORGP
*** Not Classified,"person stood down from mobilisation for further medical assessment regarding fitness to work. migrated from legacy cairs incident #33607wgis rat attended petrofac training leg entry course on friday 31st march. during the draeger practical exercise, while descending the vertical ladder, mr sean mckenna fell backwards when he was on the last rung of the ladder. he stated afterwards he thought he blacked out. there is some conjecture in the e-mail trail below that “no evidence of this was witnessed by the 2 instructors who were present and when they came to his assistance”. mr mckenna actually re donned the equipment and completed the training at his request. height of last rung from ground 14.5 cms.the wg project was not aware of this until 10.49 today, monday 03rd april, when our hsse advisor susan richardson received a phone call from steven farquhar. this was followed up by an e-mail from steven farquhar that contained an e-mail chain going back to friday 31st that was sent from petrofac training to mike roulston. this e-mail contained a copy of the petrofac report of the incident, attached.as soon as we received the information myself, on behalf of wood group took the decision to standwgis ratdown pending further medical assessment to understand whyperson “blacked out”. migrated from legacy cairs - see detailed description",ORGP
"vehicle incident general, lifting or moving loads",an employee driving a company truck was pulling out of a local business onto fm 523 when they were struck by another contractors vehicle. no injuries occurred and the employee was taken for a drug screen and an investigation began. migrated from legacy cairs incident #37781at approx. 11:20 on 4-11-18 a wood employee was pulling out of the buc-ees parking lot onto fm523 when they were broad sided by an oncoming axion delivery truck #60123. no injuries occurred and both vehicles had minor damage. the employees were taken for a drug screen and an investigation began. local authorities were involved. migrated from legacy cairs - see detailed description,ORGP
covid,"wood employee tested positive for covid-19  a worker who is working from home reported on november 9 that he was a contact with a positive  covid case and for this reason he decided to take a covid test, wich was positive. he is without symptoms and in self isolation. the worker reported to hsse and his supervisor.recommendations for her care were indicated",ORGP
vehicle incident general,"low speed vehicle collision between a car and motorcyclist in the sts compass point car park. no injuries sustained, minor damage to the car. migrated from legacy cairs incident #33916an employee (rebecca pateman) reported to the hssea team that she had been involved in an incident where she reversed (at low speed)into a motorcyclist in the cp car park this morning. she did not see the motorcyclist behind her and he subsequently fell of his motorbike, but was not injured. after an exchange of words the motorcyclist got back on his bike and drove into the undercroft but did not return to discuss the incident or report it to the hssea team. the driver of the motorcycle (alfonso gonzalaez)wasidentified and asked for his version of events, as follows:yes it was me, but it was only a small incident and i did not consider it worth reporting.as i came to the office this morning on my motorbike i approached the entrance to the underground car park behind a car. the car slowed down and then stopped, i stopped behind it thinking that perhaps they did not realise that they gates to the u/g car park were already opened and were looking for their electronic card.the car then started reversing and i did not have time to blow my horn before it hit the front wheel of my motorbike at slow speed at which time the car stopped.the impact made the bike lean to one side, i tried to keep it upright but could not quite hold it so i had to gently rest it on the floor while i stood on top of it.it turns out that the car had planned to park on the spaces immediately opposite the entrance to the underground car park and the driver said that they did not see me standing a couple of meters behind the car.i never fell off the bike and there was no damage to either vehicle..incident changed to report only as this was not work-related. migrated from legacy cairs - see detailed description",ORGP
*** Not Classified,"while backfilling an open trench, the track hoe was straddling the ditch, dumping the dirt in the trench and packing with bucket.  operator did the first lift fine but on the second lift the trench gave way on one side and tipped the track hoe. migrated from legacy cairs incident #33868crew was back filling a ditch after installing a poly line. the trackhoe was straddling the ditch doing one foot lifts and compacting the dirt after finishing the first lift. the trackhoe operator started the second lift and was almost done when he notice the ditch had caved in a little behind him; as he started to move toward the other end of the ditch the boom side of the bank gave way causing the trackhoe to slide in the ditch and damage the covers for the engine on the boom side of the trackhoe. they used the bucket to pull the trackhoe out and calledsafety and there supervisor right away and did a stop work. migrated from legacy cairs - see detailed description",ORGP
