category,text,dset
covid,ip tested +ve for covid ip tested +ve for covid. ip hasn't been in office since the start of the christmas break. line manager in contact,ORGP
*** Not Classified,"ip agrivated pre-existing back injury opening slide door engie project - cygnus alpha - injured party (ip) who had previous history of lumbar problems opened a sliding door, located cellar deck plant room (technicians office) on cygnus pu on monday 28th march at 13:30. he reported that this door required effort to open it; he felt the pain immediately on opening the sliding door.he reported this incident to the sea fox 2 medic on tuesday 29th march at 09:00. the seafox 2 medic examined him and after consultation with topside doctor gave him prescription strength medication and sent ashore to be seen by topside medical services wrightway health based in norwich.   •	sliding door operation checked and found to be free moving and easy to open.•	door secured open as a precaution in-case of intermittent issue with the door mechanism.•	witness statement recorded and ip medevacced for further consultation with onshore doctor",ORGP
"foot or leg injury, fuel spill or leak","prime mover making delivery of service truck on low loader from hq3 to wpa lost traction descending tokaju hill resulting in jack-knife. truck and trailer came to rest in drain.  damage sustained to fuel tank resulting in leakage.  no injuries migrated from legacy cairs incident #34031note:late report into cairs due to intranet beingdown. no access to cairs.backgroundwg hgcp construction projects provide the angore project transportation support of plant, equipment and material between the hides gas conditioning plant (hgcp) and hq3 workshop (in the vicinity a short distance from hgcp on the spineline) to and from the angore well pad a (wpa). the distance between hgcp and wpa is approximately 27 kms. although a short distance, this journey takes over one hour to complete given the terrain to be covered. on this day a heavy equipment operator (heo) had been assigned to transport a laurini service vehicle from hq3 to wpa operating a mercedes prime mover (pp110) with a low loader (pp083). the heo had been assigned a vehicle escort driver (ed) to provide safe passage for the journey. the environmentthe roadway from hgcp to wpa is not sealed and presents many challenges to the vehicle and driver due to hill ascents and descents, tight corners, potholes, sheer drops off cliff edges, commercial enterprises set up on the roadway sides, wet weather and the human and animal hazards that can suddenly appear. the terrain can test vehicle and mobile plant build quality where a component failure and / or operator error can and has resulted in deaths to vehicle occupants and other road users. vehicle build quality and maintenance programs are key to the reliability and safe use of vehicles in the southern highlands as is driver competency and behaviours. tokaju hill is especially steep and has seen many traffic incidents. tokaju hill is lined with old large plant tyres on one side as a last line of defence to prevent vehicle / plant rollover. deep spoon drains are installed on both sides of the road. the road is cambered to both spoon drains .(ref: photo no.2)tokaju hill had been graded as recent as the 8th june by a local maintenance team leaving a loosely bound top surface of approximately 50mm. that and the consistent heavy rain in the evenings prior had made the road surface slippery. on this day weather conditions at the time were good with no rain.the operatorthe heo has been employed by wg since the 13th oct 2014 (2yrs 8mts) at hgcp. the heo had been verified as competent to operate medium ridged vehicles and heavy combination vehicles in october 2014 and has been operating such vehicles since. the heo is held in high regard amongst his supervisors as a capable operator and has clean employment recordthe heo had been 11 days into a 4 week rotation. this is a journey the heo has completed many times before without incident. the vehiclemercedes benz prime mover (pp110). serviced on a monthly basis (last service 19/05/17) and is within service date. the truck is operational conditionrisk assessmenta prestart meeting was held by the supervisor that morning with the heodiscussing the transportation of equipment from hq3 to wpathe heo completed a prestart on the truck covering the safety systems, a visual check of tyres, inspection of fluids, inspection of the truck body and general check of the vehicle. the jsa for semi-trailer and low loader duties was reviewed and signed on to by the heo. the jsa does not identify encountering poor road conditions as a hazardthe heo completed the human machine interface swp checklist. incident detailsbetween 10:10 &amp; 10:30hrs the heo in the prime mover with low loader and ed departed hq3 to wpa to deliver a laurini service vehicle. approximately 30-45 minutes into the journey the escort driver (ed) stopped at the base of tokaju hill (as per standard operating procedure) to control traffic and allow safe passage for the heo to descend the hill. a pmv bus approached and the ed held the pmv at the base of the hill. prior to descending tokaju hill, the heo engaged 1st gear and diff lock. on decent, the heo went to press the brakes however could did not sense the truck slowing down. the wheels of the low loader had locked and started to slide. after approximately 70m of travel the trailer slid into a storm water drain with the prime mover jack-knifing into the trailer. this caused contact with the trucks fuel tank resulting in a hole approx. 75mm diameter in the diesel fuel tank and subsequent leak to grade of approximately 1l. (ref: photo no.4)post incident actionthe ed immediately went to the location to check the heo, who was in the process of getting out of the truck cab. the heo was not hurtthe ed had asked for the heo’s spill kit to control diesel leaking to grade from the fuel tank the heo notified his supervisor of the incident, the ed notified alpha base (joc), angore base &amp; hgcp transport base of the incident.supervisor arrived on location at ~ 11:30hrs.heo was taken to the hgcp isos clinic for observation and d&amp;a testing (negative sample supplied; pass)security had been mobilised to location to secure assets.a recovery team was informed and attended the location to put in place a recovery plan.fuel from the tank was decanted into drums prior to vehicle recovery.all equipment was recovered safely that evening by the recovery team. migrated from legacy cairs - see detailed description",ORGP
slips & trips,"flood at the offices of the directorate annaba because of an open faucet. migrated from legacy cairs incident #35849normal  0      21      false  false  false    fr  x-none  x-none                                       microsoftinternetexplorer4                                                                                                                                                                                                                                                                                                                at 8:00workers discovered a flood at the offices of the directorate annaba because ofan open faucet that that security officers have to forget to check.damage recorded:a short circuit in an electric power strip at the level of the methods office.correctiveactions:- the mainshut-off valve must be closed after working hours;- allsecurity officers (sgs) will be made aware of the obligation to isolate all sources(water, electricity) after working hours.- aquestionnaire will be filled out by the security agent for explanation. migrated from legacy cairs - see detailed description",ORGP
"vehicle Incident involving animal, vehicle incident general","no fault vehicle incident - wood employee was traveling to location when his vehicle came in contact with a deer. this caused minor damage to the client's vehicle. there were no injuries as a result of the incident. migrated from legacy cairs incident #40199nofault vehicle incident:on december 2, 2018 around 6:30 am, wood employee was traveling to location on county road 80 (near hobson, texas) when his vehicle came in contact with a deer. the impact caused the front grill of the vehicle to break.employee was driving the client vehicle at the time of the incident.there were no injuries as a result of the incident. migrated from legacy cairs - see detailed description",ORGP
*** Not Classified,"lngp wgpsn maintenance scaffolders were in the process of dismantling an established scaffold of 2 years plus when wasps flew out of the end of a tube and stung two personnel on their left hands. migrated from legacy cairs incident #28686backgroundem maintenance personnel (contracted to em through wgpsn) are required to provide various maintenance services to em operations at the lngp site. on this occasion, a scaffold was required to be dismantled at 95 east common process pipe rack near the flare knock-out line. the scaffold to be dismantled had been in place for a few years. it is a tube and coupler scaffold of approximately 3.0m in height. the ip’s are both qualified as scaffolders. incident detailsthe day started for the scaffolders at the daily prestart meeting facilitated by the maintenance supervisor. personnel then split up into their respective trade work groups to discuss works for the day. the scaffolders had been tasked with dismantling two scaffolds in the common process area. the ip’s injuries were sustained at the second job of the day. the ip’s arrived at the 95 east common process area to dismantle the scaffold. they had a look around the area with no variable hazards identified. the permit pack was reviewed including the swp work at heights checklist, the wms guidelines for erecting and dismantling scaffolding checklist, the lower complexity rescue plan for working at height and the jsa for dismantle scaffold from the hot oil filter area and near flare pipe rack was reviewed and signed on to by the scaffold workgroup. the scaffolders donned their harnesses, gloves, and started to dismantle the scaffold. they were removing some tubes and boards when suddenly paper wasps flew out of the end of one of the tubes and stung two of the scaffolders on their left hands. one scaffolder received one sting, the other scaffolder received four stings. risk assessment complete eptw pack including: · swp work at heights checklist, · wms guidelines for erecting and dismantling scaffolding checklist, · lower complexity rescue plan for working at height · jsa for dismantle scaffold from the hot oil filter area and near flare pipe rack was reviewed and signed on to by the scaffold workgroup. the jsa did not identify the possible hazard of wasps in the area. post incident actionthe ip’s left the area and went to wash their hands and soak them in ice water. the area operator was informed of the situation as was the maintenance supervisor. the ip’s were taken to the clinic for observation and treatment where they received ice packs and ointment. mosquito zone was notified and attended the work area for inspection. identified was a wasp nest within the tube which was eradicated. the ip’s had been wearing flex tuff gloves that have a mechanical rating of 3141. they provide good grip in wet and dry conditions however provide minimal protection against punctures. this is a good learning. migrated from legacy cairs - see detailed description",ORGP
*** Not Classified,"employee found door from glass corridor open to the paved area in front of the building in a repeat of cairs incident 20191116, the right-hand door out to the queens steps was open by approximately 4"" despite their being a notice on it not to use it. this was escalated from heart obs 201911210. observer closed door and spoke to fm.",ORGP
"general injury, hand or arm injury, vehicle incident general","nonpreventable vehicle collision. employee pulled to a stop at a red traffic light and was rear-ended by another driver. employee was driving a short-term rental to a project site. other driver at fault. employee experienced pain in the neck, shoulder and left arm. local police department contacted and a police report was filed. employee then consulted with workcare regarding pain. workcare provided self-care, first-aid advice. no further treatment required.",ORGP
slips & trips,"employee slip/trip/fall on same level.  while walking across tripped on wire mesh and fell to his knees and hands.  no reported injury.  employee entered building to hook up valve on riser in order to flush and test water. as he entered, he stepped on the wire mesh for concrete slab pour that was covering the entire sub-floor. as he was walking, a corner of the mesh turned up and tripped the employee. he then fell to his hands and knees. he requested another contractor to get a wood employee to help him up. he was assisted up and stated that he was a little sore but did not need medical attention.  no visible injury and no further complaint of injury.  employee stated that he would treat with advil on his own. commenced investigation. ",ORGP
*** Not Classified,"a project scaffolder was observed walking around the scaffold using the intermediate handrail to walk on. fall protection lanyard was in use a project scaffolder was observed walking around the scaffold using the intermediate handrail to walk on. he moved along the north south end of the scaffold, outside a corner standard and continued to walk along on the intermediate handrail in an east west direction. whilst he was walking along the intermediate hand rail he was straddling the top handrail with a leg on each side. the operative was clipped on with his fall protection lanyard, however the anchor point appeared to be below him on the top handrail.  the job was immediately stopped. initial discussions have been carried out with amec fw and bilfinger salamis management on site.employees have been suspended pending investigation.incident investigation underway.",ORGP
