category,text,dset
"foot or leg injury, back injury, hand or arm injury, slips & trips","subcontractor employee was walking down a short set of stairs (5 steps in total) when ip slipped and fell backwards landing on left side. migrated from legacy cairs incident #32275subcontractor employee at bull arm on the hook up project was walking down a short set of stairs (5 steps in total) when ip slipped and fell backwards landing on left side. ip extended left arm to try and arrest fall resulting in discomfort in left hand/wrist area, as well as lower back and left leg.ip was given first aid at the site flotilla clinic and further assessed at land based clinic. ip was later transported to emergency in clarenville for x-ray and assessment by company physician. results of assessment show no fractures but a splint was required for a sprain injury to ip’s finger resulting in this being a medical treatment case. there were no work restrictions applied by the physician. feb 14th follow up discussion with physician indicated rigid splint was precautionary and a padded bandage would be sufficient for this soft tissue injury - injury downgraded to first ad migrated from legacy cairs - see detailed description",ORGP
vehicle incident general,"preventable, company vehicle, minor damage, no injury. when preparing to leave the site for the day, was making a 3 point turn to leave an area when backing up backed into an unmarked gray utility pole guideline. it was located near 2 yellow ballards. i was able to see the 2 yellow ballards but did not see the gray guideline. the back bumper got snagged around the guideline. was able to get it clear from the guideline. no damage was noticed on the guideline. the back bumper on work truck was bent.  reported incident to supervisor on day of occurrance. completed internal reporting and sent to hsse rep on monday morning.",ORGP
"foot or leg injury, slips & trips","team member complained of discomfort in right knee two days after alleged event. after completing work tasks for the day the team member was exiting area to return tools to the tool room. the team member placed his left leg over a 30"" containment wall, sat down, then placed his right leg over the containment wall and stood. as the team member stood he felt a slight discomfort on the inside of his right leg at knee level. the team member states that the discomfort disappeared almost immediately and he continued to the tool room to return the tools and then to the supervisors' print shack to leave for the day. as team member was walking towards gate, his left leg slipped causing him to catch himself with the right leg and again felt slight discomfort but didn’t think anything of it as discomfort was slight and non-lasting, so he again, did not report the events to the supervisor. team member continued home without discomfort but woke up at approximately 04:00 the following morning and noticed a constant discomfort to right knee. the following morning (1/9/2019) the team member called in to work stating that he would not be in but gave no indication that an injury had occurred. on 1/10/2019 the team member again called in to state that he would not be in to work due to discomfort in his leg. the safety department was immediately notified and the team member was called and brought to work for evaluation. the investigation is still ongoing. the team member was offered ice, biofreeze, and otc medication and accepted. occucare was contacted for consultation. conservative care was administrated.",ORGP
general injury,"inflammation, strained shoulder causing sharp pain. cumulative task/field work, loading and unloading, over a one month period. tweaked shoulder it at end of day while in hotel causing sharp pain with certain movement. reported to workcare, received self care instructions to follow.",ORGP
*** Not Classified,non compliance with permit to work 6-8 personnel were working on a regeneration vessel under a permit. permit stipulates that each person should fit a lock and no locks were placed on the lock box. there was a lock in place (by the sabic ptw issuers) stopped the job. workgroup were spoken with and full site safety stand-down took place to remind people of the issues and to prevent reoccurrence,ORGP
"foot or leg injury, lifting or moving loads","3mm fragment of metal struck persons lip and was embedded migrated from legacy cairs incident #30644ip (materials coordinator) was using hammer &amp; chisel to removed bolts from 2"" 300lb flange. 3mm fragment of metal struck persons lip and was embedded.tools were in good condition. in hindsight maybe punch would have been alternative tool to use. however this injury might still have occurred.incident occurred 9 days into triporiginal name given by tseuk occupationalhealth was incorrect, ip details and contract now correct. migrated from legacy cairs - see detailed description",ORGP
hand or arm injury,manitou lifting and hits a cabletray of the plant installation during placing of a steel protection tube with a manitou in to a hole for protection of the micro pile the rigger gives the hand signal to retract the boom for final positioning the steel tube.manitou operator uses the wrong controls and does not retract the boom but lowers the jip that than makes contact with the cable tray. secured the load and reported to afw hse. ,ORGP
*** Not Classified,"while removing a welding cable the cable swung and came into contact with the ip's safety glasses. while an employee from sa scaffolding was in the process of dismantling scaffolding at the hpgr area, the ip came across a welding cable which had been wrapped around a hand rail and secured with wire.  after removing the wire from the cable it uncoiled and the welding clamp on the cable came into contact with the ip’s safety glasses.  where the safety glasses rest on the nose is where the minor laceration occurred.  first aid was administered after which the ip stated and provided a written statement stating that he does not require any further medical attention. *first aid was administered*a stand down was conducted with the work team*the instruction was given to have all other equipment removed from the scaffolding by the owners",ORGP
covid,the wood employee was under monitoring at the hotel and was tested positive for covid. the wood employee was under monitoring at the hotel and was tested positive for covid. he is asymptomatic. isolation and medical recommendation,ORGP
covid,a wood employee tested positive for covid-19  a wood employee received a positive covid-19 test result on 10/21/2020.  the wood employee was not experiencing symptoms and scheduled a covid 19 test which was a positive result.  contact tracing has been completed. employee has self quarantined and has notified management.  wood on site management has conducted contact tracing and notification to client.  ,ORGP
