category,text,dset
"general injury, hand or arm injury, line strike","one of the skids cribbing the pipe broke, causing it to drop a few inches.  two people involved. no treatment. at approximately 16:15 pm (mdt, 17:15 cdt) on tuesday, october 29, 2019 two welders were waiting for a permit to be issued in the sw fab area.  weather was not a factor.two welders had just finished a weld.  one was on his mud board cleaning the bottom of the weld and the other was leaning on the 30” pipe.  one of the oak, 4” x 6” skids used to crib up the pipe broke and the pipe shifted and dropped a few inches.  the welder who was laying under the pipe struck his elbow on the ground.  he stated he did not need treatment.  the other welder, who was leaning on the pipe lost his balance when the pipe shifted and say it jolted his back.  he stated he was fine and refused treatment. work stopped and reported to safety.  both welders stated they did not need medical treatment.",ORGP
slips & trips,"small work-pack folder fell into the sea a pipefitter was walking down the stairs with a field pack under their arm, when the field pack slipped out from under their arm, fell down the stairs and into the sea. individual notified supervisor of incident who contacted hse. work pack was unable to be retrieved.",ORGP
*** Not Classified,"medical event triggered during respiratory fit testing migrated from legacy cairs incident #32111wg employee presented to the on site caltex occupational health specialist in a fit condition to undertake a planned routine respiratory fit test. during the test, the ip experienced dizziness and nearly fainted after completing a 50 second deep breathing exercise while trialling a full face respirator. the caltex occupation health specialist immediately removed the full face mask and provided first aid which included the use of oxygen. the ip's medical condition was assessed at an off-site medical facility as a precautionary measure and later returned to site on normal duties. the respiratory fit test was performed in accordance with caltex fit testing requirements and under the supervision of a suitably qualified and competent person. migrated from legacy cairs - see detailed description",ORGP
*** Not Classified,"unexpected fire alarm activation resulting in emergency evacuation of office.  there was a fire evacuation at compass point at approx. 3pm. there were 5 personnel in the building who safely evacuated. the activation emanated from the main comms room vesda (very early smoke detection apparatus) system. the fire brigade were called and attended. comms room thoroughly checked, including using a heat detection camera, nothing of concern was found. alarm re-set and the all clear given. the fire brigade attended and thoroughly checked, nothing of concern was found. alarm was re-set and the all clear given. adt (vesda maintenance contractor) called to attend to investigate and establish why the vesda activated.  investigation will be completed accordingly in response to the findings.",ORGP
back injury,"ee was using a jumping jack compactor on saturday and reported to work on sunday with soreness in his lower back. ee was using a jumping jack compactor on saturday and reported to work on sunday with soreness in his lower back.  ee continued to experience discomfort and was transported to physician for examination on april 20.  during follow-up exam on april 27, ee was prescribed anti-inflammatory medication, making this a medical treatment case. cold therapy. employee continued to experience discomfort and transported to a physician for examination on april 20, 2016.. ",ORGP
hydraulic fluid or oil leak,an estimated .00089 gallons of oil was spilled into the gulf of mexico after a small leak was discovered in a containment skid. repairs were made to fix the problem. migrated from legacy cairs incident #34412an estimated .00089 gallons of oil was spilled into the gulf of mexico after a small leak was discovered in a containment skid. repairs were made to fix the problem. migrated from legacy cairs - see detailed description,ORGP
burns,minor burn to finger during arc welding task migrated from legacy cairs incident #28553ip was arc welding inside of engine room workshop to improve his welding skills (training only). during arc welding one spark went to his glove and caused a very small first-degree burn or superficial burn. ip went to see medic immediately after injury occurred. medic applied first aid and informed safety officer about fac.client lead investigation is underway. migrated from legacy cairs - see detailed description,ORGP
vehicle incident general,"preventable, company vehicle, minor damage, no injuries. driver was loading the truck with atv's. when loading one of the atv's, gave it too much gas and went forward causing damage to the roof of the cab. there is no damage to the atv but damage to the vehicle. reporting.",ORGP
*** Not Classified,"rear entrance door has a locking fault the rear door swipe entry is faulty, and the door needs to remain unlocked allowing employee access, leaving the premises accessible to the other lingfield point users.  this issue has been raised with the system supplier and the wood doa. awaiting resolution. ",ORGP
"line of fire, general injury","employee was struck on his right shoulder blade by a rotating pipe and valve/valve actuator assembly. the crew was tasked with leveling the inlet header pk0100. utilizing a crane, the crew performed basket type rigging on one of the two 30” spool pieces. the plan was to roll the pipe 2” to a level position. as the crane lifted the spool upward, it caused the balance of the spool piece to shift which caused it to rotate until the valve contacted the skid grating. employee was in the immediate area loosening a nut on a u-bolt and was struck by the butterfly valve body on the right shoulder. supervisor did not verify everybody was out of the line of fire before beginning the task. outcome of the incident was an abrasion to employee's shoulder. work was stopped and had a stand down with all employees. sent everyone home early .",ORGP
