category,text,dset
"vehicle incident general, theft",vehicle theft from site a vehicle theft from site. welfare van broken into and personal belongings stolen. ford ranger crew-cab pick up stolen from site. reported to the police and crime number given after police attended site. vehicle leasing company informed.,ORGP
*** Not Classified,"plume in pond as result of drilling operations. as the drillers were coring from 25 ft to 29.5 ft, air bubbles were observed coming from the kilmarnock pond at 2:40 pm a gas monitor was placed near the surface of water where bubbles were observed, and zero gas readings were recorded. after having a closer look, and monitoring the air bubbles in the pond, the crew noticed a small cloud of silt turbidity forming around the air bubbles. drilling operations were stopped immediately, client was contacted.",ORGP
covid,"ip tested positive while working from home. ip had covid symptoms, got tested and positive result returned.  ip is under monitoring/isolation. ",ORGP
covid,a wood employee tested positive for covid-19  a wood employee received a positive covid-19 test result on 1/04/2021.  the wood employee was experiencing symptoms and scheduled a covid 19 test which was a positive result.  contact tracing has been completed. employee has self quarantined and has notified management.  wood on site management has conducted contact tracing and notification to client.  ,ORGP
lifting or moving loads,"whilst reversing, non-slewing crane has contacted pedestal hold down bolts resulting in bolts damage.  non-slewing crane was reversing with load on hook. the spotter was positioned on the right side of crane where they had a view of both the load and rear of crane. the spotternoted the plinths and misjudged their clearance. the crane impacted the right plinths, damaging the bolts.  incident reported, bollards placed around plinths and investigation commenced.  ",ORGP
vehicle incident general,"road traffic incident - minor rti en route from cumbria to wood newcastle office. damage to hire car and 3rd party. individual unharmed. wood hire car driver, drove into the rear of another car belonging to a member of the public at a junction on route to the newcastle office from keswick in cumbria. reported to snr management and hse team. call made from hse manager to individual to confirm well being and details of incident",ORGP
*** Not Classified,"muscular contractions individual had been suffering from pre-existing back pains due to an incident at home. he then started to experience muscular contractions during office hours. due to the pain he was in, he was advised he should attend a&e.he attended a&e and was prescribed diazepam. he’s been advised to take the rest of the day off and possibly work from home tomorrow for the next two days. individual attended a&e and was prescribed diazepam. he’s been advised to take the rest of the day off and possibly work from home tomorrow for the next two days.",ORGP
head or face injury,"small laceration on tip of right side of nose - first aid treatment - site clinic while operating a weed eater, an unknown object was propelled by the cutting lines upward between the face shield and spoggles. all required ppe requirements were being implemented at the time of the incident.  employee was taken to onsite medic for evaluation and first aid treatment and cleared for return to work.",ORGP
general injury,"employee moved an empty 550 gallon tote tank when he felt minor pain in his right shoulder. migrated from legacy cairs incident #29009employee moved an empty 550 gallon tote tank by hand in order to move the tote in a position that allowed him to read the serial number. when employee pulled on the tote he felt minor pain in his right shoulder. employee is taking otc medication for pain, and remains at work. migrated from legacy cairs - see detailed description",ORGP
covid,staff was tested covid positive.  staff was tested covid positive with mild symptoms .  staff was instructed to work from home. ,ORGP
