category,text,dset
*** Not Classified,"aerial lift bumped panel and trim on filter building at approx. 1500 on 30 may 2019, an aerial lift operated by a peterson electric employee bumped an installed wall panel and trim section on the outside of the  filter building, while installing light fixtures. operation was immediately stopped and employee removed from the aerial lift.",ORGP
*** Not Classified,"lti (long term isolation) found with tag removed and terminated in rail telecoms tech found icc995 isolation tag removed and cables it related to terminated into rail in cabinet. cabinet was not energised and knife edges were out. the tech contacted permit office and the tag was reattached and re isolated with choc block.  permit office was notified and they put the long term isolation (lti) 955 back in place, the cabinet had not been energised and there was no risk to personnel. this isolation has been in place since march 2015, the pulling, glanding and testing of the cables was completed in september 2015 with the knife edges out, so was still isolated as well.",ORGP
vehicle incident general,"a small lorry came off the road and fell into a drainage ditch.  a small lorry was driving along a refinery road.due to ongoing traffic, the driver moved over to side of the road to let another vehicle pass.in doing this the driver hit a lamp post and the vehicle fell into a drainage ditch and came to rest against a newly constructed fire water pipe. the lorry, lamp post and fire water pipe received minor damaged.   the driver and single passenger escaped unhurt.     the lorry has been safely removed.a damage assessment is being carried out on the pipe and lamp post.",ORGP
bites (animals or insects),"ip sustained bee sting on the morning on may 11th, ip reported being stung by a bee. ip signified that no medical issues arose from the sting. ip returned to site cabin to administrate antiseptic cream. ip indicated no pain relief was needed and no swelling or itching occurred. ip to self monitor and if any issues arise, emergency services will be contacted.",ORGP
bites (animals or insects),"employee was stung by a wasp on the back of his right knee while working. axiom was contacted and first aid measures were appropriate for this injury. migrated from legacy cairs incident #39799while on location, wood employee was stung by a yellow jacket wasp/hornet on the back of his right knee. this caused minor swelling and a red bump to the affected area. the area was cleaned with soap and water. axiom was contacted and first aid measures were appropriate for this injury. axiom did not see any signs ofanallergic reactionto the employee from the insect bite. weather conditions at the time of the incident was warm and sunny. migrated from legacy cairs - see detailed description",ORGP
weather related issue,"prolonged polluted runoff from access road network into euchan water due to heavy traffic on the existing forestry road network during a period of severe weather conditions (snow/ice), following the thaw the road integrity degraded to such an extent that a layer of sludge formed on the road surface. existing installed mitigations were unable to cope with this increased loading which led to an undetermined amount of silt laden water flowing into the euchan water. incident reported to sepa. all works stopped on site. mitigation plans prepared and submitted to sepa. mitigation works started as soon as the mitigation plans were approved by sepa. ",ORGP
covid,"employee tested positive for covid-19 on august 2, an employee notified their supervisor that their family was ill over the weekend.the employee worked from home the week of august 2nd.employee reported that he and his family members have tested positive for covid-19 on august 9.the individual is part of the trion project, working out of mcdermott's offices.the individual was not in the park 10 campus since july 29.  the individual reported to his supervisor that his family was ill and upon receiving positive test results. mcdermott was notified of the situation.",ORGP
vehicle incident general,"pd; pafhq; light vehicle made contact with concrete block; ks-2016-0028 the operator of a fuel truck was turning right into the veolia laydown when he noticed a semi tractor unit approaching.  the fuel truck operator pulled over to the right to allow the semi tractor to pass.  once the other vehicle had cleared the intersection, the fuel truck driver proceeded forward causing the passenger side rear fender to contact a concrete block resulting in a bent fender and rim along with two flat tires. scene was frozen, post incident protocols were followed.  investigation initiated.",ORGP
"line strike, vehicle incident general",excavator operator struck an underground 15 inch irrigation line while trenching. migrated from legacy cairs incident #39708excavator operator was digging a 5ft deep trench to install a new water main when he struck a 15 inch irrigation water line. irrigation line was struck as the operator was sloping the sides of the excavation so there were no personnel in the trench. supervisor and operator where able to find the valve to close the line before water could reach the road way. operator and supervisor were not aware of the irrigation line. they did have the surveyor check the gps model for any utilities when he was staking for the current trench and it did not show any utilities. line had been previously located but the locate marking were not upkept. line was repair approximately 4 hours after incident occurred. migrated from legacy cairs - see detailed description,ORGP
"lifting or moving loads, vehicle incident general",while reversing forklift the mast struck the top of the service bay entrance. migrated from legacy cairs incident #28976the forklift mechanic was requested by his foreman to drive the f/l (in reverse) into the heavy equipment bay for a 12 monthly service check.as he was driving the f/l in he needed to drive up a slight incline to enter the bay. he raised his tines so they would not drag on the concrete incline. he had a spotter behind him.the spotter noticed that that he was going to hit the top of the entrance and called out but the driver did not hear him.the forklift struck the top of the entrance and damaged the external wall. no damage to forklift. no injury to the driver.a jsa had been completed for the task which referenced the task the hazard involved and the controls. the driver was taken for d &amp; a testing and returned a negative result. migrated from legacy cairs - see detailed description,ORGP
*** Not Classified,"subcontractor water truck for dust control got close to the edge of the road causing the truck to slide off the edge into soft mud shoulder. at circuit 1 on the main road, a contractor was watering the roads for dust control. as the employee was driving the water truck down the main road another worker was driving the opposite direction. the driver of the water truck pulled over to the side of the road to talk with the other employee about the work task. as they were talking about the job,  the driver of the water truck stated;  he felt the water truck begin to move off the road. the water truck  became stuck in the mud on the soft shoulder of the road. the driver notified supervision and safety. notifications were made to management, safety & a plan was made to extract the truck from the mud.",ORGP
"lifting or moving loads, vehicle incident general, head or face injury",vehicle reversed down the haul road and colided with a kentlidge block  at approximately 16:45 on the 17-11-17 a vehicle struck a kenteledge block approximately 1.8m cubed weighing approximately 1.6-1.8t. the block was set off the road and placed as part of the overland cable pulling works. the driver was reversing down the haul road and struck the block at a pedestrian pace. this caused the rear tail light to be broken on the passengers side and dented the rear bumper. the driver was making his way to the temporary lighting tower to illuminate the haul road for safe vehicular access. the driver reported the incident the following morning. at the time of the collision no injuries had occurred and no one was hurt.   the area was photographed and then returned to its working state. a statement was taken from the driver. the vehicle has been quarantined for repair. ,ORGP
"line of fire, lifting or moving loads, vehicle incident general","a wood group field tech backed a truck into another parked wood group truck.  the rear right fender was damaged.  no injuries. migrated from legacy cairs incident #34021the field tech was practicing backing a trailer in the parking lotat the carbon creek powder river field office preparing fora cdl driving test that was scheduled for the next morning in gillette, wyoming. there was another truck parked about 50 feet in front and to the right of the frontright cone.the tech was practicing with a spotter, who was standing on the driver's side of the trailer at the furthest cone. he had successfully backed the trailer between the cones about 6 times, half of the time with the help of the spotter. in all those times,the parked truck was never in the line of fire. on the last practice attempt, the field tech told the spotter that he wanted to back up without his help, because the cdl test does not allow for a spotter to be present. ashe was turning and backing the trailer to the leftthrough thefront cones, the truck and trailer began to jack knife. he turned the front wheels sharp to correct it and continued backing. the tech's attention was on the left hand side of the truck and trailer and he failed tosee in the right hand mirrorthat he was getting close to the parked truck.when the spotter saw that he truck was getting too close to the parked truck, he tried signaling with his hands and yelled, but the field tech was unable to see or hear him. the rear right corner of the truck flatbed hit the left rear quarter panel ofthe parkedtruck. no injuries.the parked truck belonged to the operations superintendent who was in a meeting and unavailable to be contacted to move his truck when the field tech set up the cones. the truck was parked in the center of the parking lot because the parking lot was full of trucks in the morning when the superintendent arrived, but after the lease operators left to work in the field, his truck was the only truck left in that area of the parking lot. migrated from legacy cairs - see detailed description",ORGP
*** Not Classified,"forklift was extending boom with a load of rebar attached to hook when back tires came off ground the forklift operator was attempting to set a bundle of rebar with extend-a-boom forklift on location when the back tires came off the ground due to weight overload. job as stopped and operator was made aware of the concern , then the job was re-started to better reach the area with the load.",ORGP
hydraulic fluid or oil leak,"client employee put an item in the bed of their truck and cracked a bottle of motor oil, leaking 1/2 quart onto ground. the involved employee (ie) unknowingly put a propane tank on top of a 1-gallon oil jug in the bed of their truck, which ruptured and leaked approx. 1/2-quart (480 ml) from the truck bed onto the gravel of the parking lot at kermit pipe yard a. the wood assistant chief inspector noticed the spill, notified the ie and wood environmental inspector, and initiated a cleanup. gravel & soil immediately scooped up and put into a storage container for disposal. the wood chief inspector notified the project management team via email 01/10/2019 at 20:32 (08:32 pm). wood environmental created environmental report and coordinated for disposal with client.",ORGP
covid,ip working with wbc tested positive for covid 19. ip working with wbc tested positive for covid 19. ip has no symptoms and has been isolated from 25th june. his last working day at the site was 24th june. ip is being moved to the c6 quarantine area prior to being moved to the government quarantine facilities. shell were advised and are conducting their own tracing within their own team to identify potentially infected personnel.,ORGP
*** Not Classified,"employee approached well and collected a sample. he noticed a valve was leaking and called operator. as he was assisting operator the crown wireline cap came off the top of the well from pressure. oil came out of top and sprayed employee. migrated from legacy cairs incident #28850employee approached well and collected sample off flowline. he noticed a valve was leaking andnotified the operator to come and fix it. the operatorarrived and closed andisolated the valve to change it out. as he was assisting the operator by holding the bucket to drain some fluid, the crown wireline cap came off the top of the well from well pressure landing on a tool box away from well. oil came out of top and sprayed employee. well was secured by operator. migrated from legacy cairs - see detailed description",ORGP
foot or leg injury,"discomfort to right ankle.  team member was in the process of manually moving a piece of cribbing that was 6” x 6” x 4’ long when he rolled his right ankle. the timber was staged by laminate mats and required the team member to walk on the mats to access them. when the team member approached the timber, he had to turn to lift it which caused his foot to be parallel with a crack in the mat. this action caused his foot to roll into the crack twisting his ankle. team member was taken to onsite medical for evaluation where the emt noted slight swelling and a small bruise.  team member was then taken offsite for further evaluation and x-rays. x-rays were negative and the team member was treated with cold therapy and otc medication. the team member was released back to work without restrictions. the walkway was barricaded off to prevent access until the cracks in the mats could be backfilled. ",ORGP
covid,"two (2) employee were tested positive for covid 19 two (2) employee were tested positive for covid 19 in att office - ompp programme  advise the employees with the protocol, arrange for office deep cleaning. ",ORGP
fuel spill or leak,"spill to grade <1 litre (engine oil) from nacap morooka (#p1959)  on access road up to hdd pad  ~ 10:00hrs migrated from legacy cairs incident #34787a trail of engine oil &lt;1.0 litres was noticed along the access road up to the hdd pad. upon investigation of various pieces of equipment, the morooka #p1959 (nacap owned morookaunder the operation of wg)was found to be the source of the spill to grade.the area in question was cleaned up and contaminated material disposed of appropriately, with guidance of the wg environmental.initial investigation looks like there was residual oil located in the belly plate which had liquefied and due to hot exhaust from a breather outlet which resulted in the spill to grade.the mooroka immediately shut down the belly plate area was cleaned up and the mechanics were on scene ot investigate and monitor for any additional possible defects which could have resulted in the spill. migrated from legacy cairs - see detailed description",ORGP
covid,employee communicated a positive confirmation for covid-19  an employee reported a confirmed positive test for covid-19 to site management. the employee has been in isolation since september 24th. wood is identifying those who may have worked in proximity.  appropriate notifications have been completed. this is the one of two positive results for the 24th of september.,ORGP
foot or leg injury,"right ankle strain employee twisted right ankle while carrying two buckets of concrete samples.  while employee was carrying buckets, employee stepped on something causing the ankle to twist. employee contacted workcare and received first-aid, self-care advise.  no additional treatment required.",ORGP
covid,wood worker tested positive result for covid-19 while onboard the fpso peregrino. he will disembark today for quarentine period. a wood employee was tested positive for covid-19 on a rt-pcr test while onboard the fpso peregrino. test was peformed by client. the employee is asymptomatic and will disembark today for a quarentine period.  the worker will disembark today and will be  transferred to a selected  hotel (ramada encore ribalta) in rio using a private transportation car rented by wood to perform quarantine period.,ORGP
*** Not Classified,"delivery driver accessed tank farm area in truck unescorted. crushed rock delivery driver accessed site via the guard house after collecting his visitors pass. he continued on from the guard house to the tank 7&8 bund unescorted. delivery drivers/visitors are required to be escorted at all times while on site. the driver had been on site earlier on in the day and was escorted with no issue.  a work crew member noticed the failure from the driver, got the drivers attention and stopped him. the driver was then escorted off site and his pass returned.",ORGP
eye injury or irritation,"debris on the eye operator got debris on the eye in connection with work on cutting steel beams using angular grinders in habitat. proper personal protective equipment (googles) was used. went to nurse / medic at the installation and debris was removed.incident reviewed with all relevant personnel in hse meeting, morning and evening meeting - for information and learning.",ORGP
covid,one (1) massy wood employee tested covid-19 positive. one (1) massy wood employee tested covid-19 positive. the employee was isolated.,ORGP
covid,a wood employee tested positive for covid-19.  a wood employee received a positive covid-19 test result on 10/6/2021.  the wood employee was experiencing symptoms and scheduled a covid 19 test which was a positive result.  contact tracing has been completed. employee has self quarantined and has notified management.  wood on site management has conducted contact tracing and notification to client.  ,ORGP
"mechanical or equipment issue, eye injury or irritation, weather related issue","foreign body in the eye. a construction worker reported dust in his eye following a gust of wind. his eye was flushed using the local eye wash station and the worker was transported to the crisp medical facility. no foreign body was found in the eye and no damage noted. the man will report to medical tomorrow morning (15th june) prior to starting his shift. his eye was flushed using the local eye wash station and the worker was transported to the crisp medical facility. no foreign body was found in the eye and no damage noted. the man will report to medical tomorrow morning (15th june) prior to starting his shift.initiated case management. doctor reviewed on 15 june morning, he is alright and discharge from follow up.",ORGP
foot or leg injury,wood employee claimed discomfort to calf walking down stairs.  a wood employee states that he was walking down stairs in the spvc maintenance shop. the employee claims that as he was descending the stairway he misjudged his footing and his right foot did not make complete contact with the stair tread causing discomfort to his right leg/calf area. the employee reported the incident to his foreman at lunch time (~12:45). the foreman reported to wg site hsse & the employee was taken to an off-site occ med for evaluation where the employee was returned to work with no treatment.  employee was taken to off -site medical clinic,ORGP
slips & trips,fall on same level due to slipping  an employee slipped on a puddle of water near an outpatient drop-off area. she suffered a broken right kneecap.,OSHA
fall from or working at height issue,"other fall to lower level, unspecified an employee was removing a tarp on top of a rice pod when he slid down the pod and landed in a ditch filled with mud, fracturing his tailbone.",OSHA
hand or arm injury,caught in running equipment or machinery during regular operation an employee was placing plastic film on top of a textile baling machine. the baler was activated and its top plate crushed the employee's right hand. the employee was hospitalized.,OSHA
"slips & trips, fall from or working at height issue, foot or leg injury","other fall to lower level, unspecified an employee was opening a door on a roll-off container using the chain. the chain broke and the employee slipped and fell to the ground below, suffering a broken leg.",OSHA
"slips & trips, general injury, hand or arm injury","fall on same level due to tripping over an object  an employee tripped over a fan that was used to dry carpets that were being cleaned and fell, fracturing an arm/shoulder.",OSHA
hand or arm injury,"caught in running equipment or machinery, unspecified an employee was working with a depositor machine when the employee's index finger contacted the depositor, amputating it from the fingertip to the knuckle. the machine was unguarded at the time.",OSHA
"lifting or moving loads, hand or arm injury","compressed or pinched by shifting objects or equipment on november 22, 2019, an employee was placing lids on wooden boxes filled with cheese then affixing straps to the boxes for shipping. a wooden box being fed into the conveyor struck a door that had swung open. the wooden box then kicked back towards the tipping mechanism and the employee's right thumb was caught and partially amputated between the wooden box and the rail of the tipping mechanism.",OSHA
foot or leg injury,part of occupantís body caught between vehicle and other object in nonroadway transport incident an employee was driving a high-reach forklift into a cooler in the outbound warehouse when her foot was pinched between the lift and a beam. two of her toes had to be surgically amputated.,OSHA
hand or arm injury,"caught in running equipment or machinery during maintenance, cleaning  an employee's fingers were in the belt guard of a jammed and inoperable conveyor. once the jam was cleared, the conveyor started to cycle and three fingers on the left hand were amputated.",OSHA
hand or arm injury,"struck by discharged object or substance an employee was attempting to adjust the housing on the tip of a spray gun when the trigger was engaged, causing the ceramic coating to go through the employee's glove into his left index finger, resulting in an injury that required surgery.",OSHA
burns,contact with hot objects or substances an employee was burned by steam as the employee opened the housing of a condensate steam sump.,OSHA
"slips & trips, head or face injury","fall on same level, n.e.c.  while walking into the emergency department observation unit, an employee became dizzy, passed out, and fell to the floor. the employee sustained a cut to the head.",OSHA
general illness or health issue,"exposure to other harmful substances, unspecified an employee suffered an allergic reaction while mixing an unknown chemical with water to clean surgical equipment, requiring hospitalization.",OSHA
"fall from or working at height issue, head or face injury","other fall to lower level, unspecified an employee was retrieving a semi truck tire rim from an elevated storage rack using a ladder. the ladder moved and the employee fell and sustained a large gash on the head.",OSHA
hand or arm injury,"caught in running equipment or machinery during maintenance, cleaning  an employee was setting timing on the inline section of a printing machine, which had been removed from service and was in a maintenance shop. the employee's right little finger was caught in the timing gear and amputated.",OSHA
hand or arm injury,"struck by or caught in swinging door or gate an employee was preparing a cow for milking. a cattle gate closed on the employee's hand, causing a partial amputation to the left little finger.",OSHA
*** Not Classified,exposure to environmental heat an employee had been unloading parcels. the employee was hospitalized with severe dehydration.,OSHA
slips & trips,fall on same level due to tripping over self an employee was about to go down a flight of stairs but noticed someone coming up the same stairs. he then re-directed to go to another set of stairs but tripped and fell. he shattered his left elbow and was hospitalized.,OSHA
foot or leg injury,"struck by object or equipment dropped by injured worker on friday, august 14, 2015, an employee was bracing a dump truck tailgate. when he removed the pins, he lost his balance and the tailgate fell over and crushed his big toe on the right foot. the toe was surgically amputated.",OSHA
"dropped object or material, foot or leg injury",injured by physical contact during horseplay  two employees were engaged in horseplay when they fell to the floor. one broke his leg and knee.,OSHA
hand or arm injury,caught in running equipment or machinery during regular operation an employee was operating a panel drill when their free hand became trapped by the drill when it lowered. the employee required surgery to repair broken fingers and a nicked artery.,OSHA
eye injury or irritation,"direct exposure to electricity, unspecified the employee was providing illumination to a welder that was welding inside a vessel by means of a miners light (hard hat attachment). an arc flash occurred and the employee was shocked.",OSHA
"slips & trips, head or face injury","fall on same level, unspecified an employee standing at floor level fell backwards and hit his head. he was hospitalized.",OSHA
"line strike, eye injury or irritation","direct exposure to electricity, unspecified on august 16, 2017, an employee was jackhammering concrete around an electrical conduit bank when the jackhammer struck an electrical line and an arc flash occurred. the employee suffered burns from the waist to just above the knee.",OSHA
"slips & trips, fall from or working at height issue, general injury","other fall to lower level, unspecified an employee was going onto a roof to retrieve a tool when the employee fell from the roof to scaffolding and then to a catwalk. the employee suffered broken ribs.",OSHA
"fall from or working at height issue, general injury","other fall to lower level, unspecified an employee was on a ladder installing cable and fell off the ladder to the ground. the employee sustained a concussion, broken ribs, and lacerations and was hospitalized.",OSHA
eye injury or irritation,"direct exposure to electricity, unspecified an employee was on a ladder helping a third-party contractor test and repair an electrical fuse bucket when an arc flash occurred, burning the employee's right hand and left eyebrow.",OSHA
electric shock or issue,"direct exposure to electricity, greater than 220 volts an employee received an electric shock from 480-volt electrical current while trying to place an overhead hoist back on its track. the employee was hospitalized with burns to the left index finger, left thumb, left wrist, and chest.",OSHA
"slips & trips, fall from or working at height issue, foot or leg injury","other fall to lower level 6 to 10 feet on 3/10/16, at 6:15 a.m., an employee went up a ladder to unlock a hatch and access the roof for work. he unlocked and opened the hatch, saw that the ladder was not extended 3 feet above, and went back down to readjust it. he lost his footing and fell 8 to 10 feet, breaking his left leg and right heel. he was hospitalized.",OSHA
"slips & trips, lifting or moving loads, dropped object or material, general injury","struck by falling object or equipment, n.e.c. on august 14, 2017, an employee was removing braces in a shipping container when granite slabs fell onto the employee's chest. the employee suffered broken ribs and a collapsed lung.",OSHA
foot or leg injury,"pedestrian struck by forward-moving vehicle in nonroadway area an employee was working in an aisle when a forklift operator driving down the aisle pushed a pallet into her, striking her left ankle.",OSHA
hand or arm injury,"struck against object or equipment while moving it an employee was removing a piece of plywood from a container when a sliver penetrated their glove, injuring a finger. the finger swelled up, and the employee was hospitalized to treat the infection.",OSHA
"slips & trips, hand or arm injury","caught in running equipment or machinery, n.e.c. an employee was checking a can filling line lid infeed. the lid feed actuator tripped and the feed mechanism started, amputating the tip/side of his right thumb. the guard had been removed at the time of the incident.",OSHA
"slips & trips, hand or arm injury","fall on same level due to tripping on uneven surface an employee was walking along a sidewalk at work when she tripped on an uneven section and fell to the sidewalk, fracturing her right arm and wrist.",OSHA
slips & trips,"other fall to lower level less than 6 feet an employee was doing a wheel alignment. he stepped out of the vehicle, fell to the ground, and lost consciousness.",OSHA
hazardous materials or work,inhalation of harmful substance-single episode an employee suffered respiratory distress when she went into a restroom and found a patient that was smoking.,OSHA
bites (animals or insects),"other animal bites, nonvenomous an employee was bitten by a dog while delivering mail, requiring overnight hospitalization.",OSHA
"slips & trips, fall from or working at height issue, foot or leg injury","other fall to lower level, unspecified an employee was on the loading dock, loading a trailer. he climbed onto the trailer-door track-guard at the rear of the trailer to reach and strap freight, securing it in the trailer. he slipped off the door-track guard and fell into the gap between the trailer and dock, sustaining multiple fractures to his right ankle.",OSHA
hand or arm injury,"caught in running equipment or machinery, unspecified an employee picked up a chicken from a moving conveyor belt and his glove became caught. the employee sustained a fingertip amputation.",OSHA
head or face injury,"struck by object or equipment, unspecified an employee was opening a cart and putting down a shelf. she was hit on the right side of the head by the top shelf as she was working on the lower shelf. the employee was hospitalized and had a bruise behind the ear.",OSHA
head or face injury,"injured by slipping or swinging object held by other person an employee was struck in the face with a golf club while walking behind a golfer, leading to hospitalization.",OSHA
"slips & trips, general injury",fall on same level due to tripping over an object  an employee was cutting shrink wrap on a pallet when he tripped over an outrigger and fractured his hip. he was hospitalized.,OSHA
hand or arm injury,compressed or pinched by shifting objects or equipment an employee was moving the brake table attached to the drilling rig when his left ring finger was pinched resulting in amputation of the fingertip.,OSHA
hand or arm injury,"caught in running equipment or machinery during maintenance, cleaning  an employee suffered right hand finger amputations while performing maintenance on a running forklift truck.",OSHA
"dropped object or material, lifting or moving loads","struck by falling object or equipment, n.e.c. a crew was attempting to lift a balloon wall when wind caught it, causing the wall to fall back on the crew. one employee was hospitalized.",OSHA
back injury,"overexertion in lifting-single episode on january 18, 2018, at approximately 7:30 p.m., an employee was packing lamps when she experienced severe back pain as she bent over to pick up an empty tote weighing 5.6 lbs. that was laying 12 inches from the floor. she was hospitalized with a bulging disc.",OSHA
"slips & trips, dropped object or material, vehicle incident general, foot or leg injury, lifting or moving loads","struck by object falling from vehicle or machinery-other than vehicle part an employee was delivering a refrigerator when it slipped off the dolly, falling on his ankle and breaking it.",OSHA
