category,text,dset
"slips & trips, foot or leg injury","an electrical helper twisted their ankle while walking on loose clay.  on thursday, march 11th, at approximately 11:30 am, an electrical helper was walking, on loose dry clay, to their utv to complete paperwork. the helper was walking when they stepped wrong and felt discomfort, that immediately dissipated, to their right ankle.  the ip did not trip or step on anything other than the loose dry clay. ip reported discomfort was initial but did not remain.  the actual severity rating was an a1 as there was no treatment provided, only evaluation. the potential severity rating was a b2 as the event could have resulted in medical treatment. ip reported the discomfort to their supervisor.  supervisor escorted the ip to the onsite medic for further evaluation.  medic performed an evaluation only, no treatment, as there was no swelling or bruising and the employee returned to work full duty without restrictions.  ip was informed to report to safety if there were any changes to their discomfort. incident investigation protocols were initiated.",ORGP
near miss,"working off the top platform of a step ladder without a harness.near miss. migrated from legacy cairs incident #30895where did the near miss occur?b96, door seal area jlr.details of near miss?a worker was using the top platform of a step ladder with no harness on.what is the condition type of the near miss?unsafe act and unsafe use of equipment.was corrective action taken?yes.is this a common occurrence?no. migrated from legacy cairs - see detailed description",ORGP
*** Not Classified,"while wgpsn employee was driving home from work on i-90, the passenger rear tire suddenly blew.  as the employee was slowing down and pulling to the side of the road, the tire separated and damaged the rear fender.  no injuries. migrated from legacy cairs incident #28621while wgpsn employee was driving home from work on i-90, the passenger rear tire suddenly blew. as the employee was slowing down and pulling to the side of the road, the tire separated and damaged the rear fender. no injuries. migrated from legacy cairs - see detailed description",ORGP
vehicle incident general,wgpacs ip was on his commute to work when a member of the public pulled out into his lane of traffic. wgpacs ip struck the other vehicle injuring the wgpacs employee and causing damage to the wgpacs vehicle. migrated from legacy cairs incident #31742wgpacs ip was on his commute to work when a member of the public pulled out into his lane of traffic. wgpacs ip struck the other vehicle injuring the wgpacs employee and causing damage to the wgpacs vehicle.other drier has accepted fault for the incident and declared he did not see our vehicle when he was at the stop sign waitingto join the highway.wgapcs ip suffered breathing issues and otherchest pains. ip reported to er for treatment. ip was released back to work.wgpacs awaiting police report. migrated from legacy cairs - see detailed description,ORGP
"vehicle incident general, vehicle Incident involving animal","non preventable, company vehicle, minor damage, no injury deer strike while traveling to site. internal reporting initiated.",ORGP
hand or arm injury,"ip felt discomfort in his left wrist after he opened a door into a building.  on april 8, 2020 at 3:30 am, a wood ip felt some discomfort to his left wrist after opening a door to the building located at the austin section 17 in stanley, nd. axiom was contacted and advised the ip to apply first aid measures to the injured area.   ip notified manager and axiom of the incident. ",ORGP
"vehicle incident general, head or face injury, lifting or moving loads","during the maneuvering operations a road cart, a tire struck against a piezometric coloumn. during the maneuvering operations a multi-axle modular trailer, used for the transport of the f101 oven radiant modules, a tire struck against a piezometric column of the refinery's freatimetric and hydro chemical system. the impact broke the external protection and of a few centimeters of the head of the internal 4 ""piezometric tube, as well as a vertical split of about 50 centimeters, from the ground level, along the stretch blind. additional signs put on site and integration of the existent protection.further maneuvers near the piezometer will be carried out with the aid of a second control maneuver, also optimizing the communication between the various subjects involved in the operations.",ORGP
*** Not Classified,"an employee was operating lawnmower and contacted a solar panel while driving between the arrays on 8/26/21 at approximately 11:00 am, the task was lawnmowing near pcs 24. an operator was travelling down an access point between the arrays. the operator had a spotter in place while gaining access to another array row. the left control arm on the zero-turn lawnmower suddenly became very loose causing the operator to jerk to the right. as the employee suddenly turned to the right the roll over protection contacted a solar panel. upon further inspection the damper on the control arm was detached. this dampen arm is used to stabilize the controls from any sudden movements. no injuries resulted to the operator or spotter. the actual rating listed as an a1 as the asset damage was under $10k.  the potential severity rating also an a1 as no further damage could have resulted. the incident was immediately reported, and the equipment was tagged out. investigation initiated. ",ORGP
general injury,"ee reports that lifting a 85 pound nuclear density gauge box and put it into a truck and developed r shoulder pain, ee reports that was lifting a 85 pound nuclear density gauge box and put it into a truck. the edge of the box hit the corner of the tail gate. the ee then developed r shoulder pain. ee didn't report until end of the day. supervisor requested ee contact workcare. waiting on internal reporting.",ORGP
hazardous materials or work,client operations ptl(process team leader) had spotted that scaffold erected by wg scaffold contractor had caused an unsafe working condition with user exposed to hazard of psv lifting. migrated from legacy cairs incident #34741on 6th october 2017 client operations ptl(process team leader) had raised concern with regards on the scaffold erected for vessel thickness test(ndt) for client vendor had caused an unsafe working condition with user exposed to hazard of psv lifting. the scaffolds were erected earlier prior commencement of vessel ndt and scaffolders were highlighted by wg mechanical technicians as maintenance representative of the psv and they were not in the line fire for psv lifting during scaffold erection process.the scaffold supervisor had put up the red tag on the affected scaffold to prevent unauthorised access. investigation and discussion will be conducted on thursday 12th october 2017. migrated from legacy cairs - see detailed description,ORGP
covid,"a total of 19 wood employees were tested positive for covid-19 a total of 19 wood personnel who were showing mild covid-19 symptoms had to undergo a pcr test for covid-19. unfortunately, the results returned as positive the individuals are awaiting to be transferred to the dedicated quarantine facility, national isolation centre and will require to return with 2 negative tests after which the individuals will be released for another 7 days self-isolation.",ORGP
covid,"x1 asymptomatic covid case x1 asymptomatic covid case close contacts informed, instructed to follow government guidelines for testing.",ORGP
"alcohol or drugs, general injury, hand or arm injury, slips & trips","while the ip was erecting a hanging scaffold, the scaffold punch slipped. this resulted in a minor skin abrasion to his left thumb. the ip was erecting a hanging scaffold. while knocking the scaffold ledger lock-pin into the scaffold standard pin sleeve, the ip's scaffold punch slipped, striking him on his gloved left hand thumb, causing a minor skin abrasion.  the punch was attached to the ip by means of a tool lanyard - there was no potential for the tool in this instance to fall, causing harm to others below. hpjv hse was immediately notified. the ip was taken to the isos site clinic. alcohol and drug test conducted - negative. group five proceeded to the area to conduct a re-enactment of the incident to determine the root cause.",ORGP
"hand or arm injury, lifting or moving loads","ee picked up a half box of bolts, the load shifted, causing discomfort to the left wrist.  a pallet of parts was on a forklift, raised to waist height. employee picked up a half box of bolts when the load shifted, causing discomfort to the left wrist. ee refused first aid treatment",ORGP
"mechanical or equipment issue, line strike","line strike to traffic signal cable occurred at 3am on site. cable was not identified on 811 locates and was in wrong position according to drawings provide by prime contractor, skanska. migrated from legacy cairs incident #38439operator was using hoe ram in rock and while moving debris with tip of ram made contact and damaged an unmarked cable powering stop light to 5th and broadway. drawing provided by prime contractor, skanska indicated cable was located in different location. tn 811 did not pick during on site locate. migrated from legacy cairs - see detailed description",ORGP
"hydraulic fluid or oil leak, lifting or moving loads","boom lift hydraulic hose bust  on 29th november 2017 at around 18:00hrs utoc lifting crew was performing unloading of equipment from the trailer bed. the crew was performing rigging work using the boom lift. in the process of rigging the equipment, the hydraulic hose connected to the boom bust and that causes the hydraulic leak. immediately the supervisor instructed the operators to lower down the boom safely and spillage has cleared using the absorbent pads. amecfw supervisor on duty immediately notify the hsse team for support.        1. work activity immediately stopped and cordon off the affected area.2. drain close to the spillage area provided with sand bag. 3. absorbent pads, drip pan and other chemical spill kit mobilized to contain and clean-up the spillage area.     ",ORGP
