category,text,dset
*** Not Classified,anticipated  travel disruption to employees assigned to toromocho project employees assigned to toromocho project were advised about heavy rain and flooding on route to/from worksite which had blocked temporarly the main road.   mitigations measures are follows:  employees are constantly engaged with gs representaive to ensure that the route is clear prior to departure. monitor the national meteorology and hydrology service (senamhi) and national institute of civil defence (indeci)  for up-to-date information on weather conditions. only daytime movements are permitted. six essentials have been reinforced as well.,ORGP
"head or face injury, slips & trips","wood employee took his vehicle out of park when his foot slipped off the brakes causing the vehicle to roll into the rail. there were no injuries as a result of the incident. migrated from legacy cairs incident #38567wood employee was in the process of taking his vehicle out of park when his foot slipped off the brakes causing the vehicle to roll into the rail. this caused damage to the radiator, grill and passenger side door. there were no other parties involved at the time of the incident.jsa was performed by employee.weather conditions at the time of the incident was clear and humid.there were no injuries as a result of the incident. migrated from legacy cairs - see detailed description",ORGP
*** Not Classified,"welder went to clinic stating that he burned left little finger due to radiation. welder stated that he burned his left little finger due to radiation, this happened during the welding test. however the welder went only after 48h to the contractor clinic. worker left the project",ORGP
*** Not Classified,"ev7800 daily checks not carried out  bp operational team leader (otl) suspected that ev7800 daily checks were not getting carried out properly by the afw shift technician so he retained the key to the ev7800 cage on thursday 12th and saturday 14th january. please note: a key is required to carry out the necessary checks, the checks cannot be done from outside the cage. no request for the key was made during those two days thus no checks could have been made. there is only one key available to access the cage. on sunday 15th the otl had a discussion with the shift technician regarding how the checks are made. the technician advised he had done the checks on those days. the otl challenged that the lamp test can only be done from within the cage & he admitted the daily checks had not been carried out.  the otl re-emphasised the importance of these daily checks as ev7800 was a critical piece of equipment to fps & these checks are part of our early warning for areas of concern to be remediated. the technician apologised and took on board the points the otl raised & committed to carrying these out as per request in future.afw investigation team mobilised. awaiting completion. ",ORGP
vehicle incident general,"driver and passenger were driving to their hotel, and were rear-ended by another driver. roads were wet, and the other driver swerved to avoid them and hit them with a glancing blow.  minimal damage; auto drivable. no one injured. migrated from legacy cairs incident #31361james foster (driver) and dawn tolbert (passenger) were driving to their hotel, and were rear-ended by another driver. roads were wet, and the other driver swerved to avoid them and hit them with a glancing blow. car has minimal damage, and is drivable. nobody was injured. driverwas driving down a road in kingsport, tn in a rental car with dawn tolbert. we were looking for a good spot to make a u-turn to get to the other side of the road. i slowed down to prepare to turn left and i was hit from behind by another vehicle. the police came and supplied an incident report.police report was filed. incident #16-020191. enterprise rental car has been notified of incident. migrated from legacy cairs - see detailed description",ORGP
back injury,"lower back pain after sliding heavy machinery  employee slid ponar on controlled surface of a lobster boat during a field assignment on the penobscot river to collect sediment samples.  while sliding the equipment, employee felt a sudden sharp stabbing pain in the lower back.   workcare was consulted and they provided first-aid, self-care advise.  no additional treatment required.",ORGP
"hydraulic fluid or oil leak, fuel spill or leak","spill of hydraulic oil from a  it-62 loader due to burst hyd hose what happened: at 14:40 today there was a spill of hydraulic oil from a  it-62 loader which was being operated at kopiandia facility, due to burst hyd hose.how much:approx. 500ml of hydraulic fluid reached grade. the contaminated area was cleaned up and disposed of immediately by spill pads and spill kit bags.mechanic to attend scene to rectify equipment.",ORGP
*** Not Classified,"lo leak on lp compressor the sampling was undertaken using a routine permit by the lead mechanical commissioning technician who was wearing the correct ppe (goggles and chemical gloves), he was assisted by a second mechanical technician.the technician reports that he checked the valve was closed prior to gently slackening off the cap fitted to the downstream side of the valve. although he reports that he felt that he had satisfied himself that there was no pressure behind the cap, when he removed it there was what he describes a full flow of oil released.he was able to replace the cap, but in doing so he and his colleague were sprayed with oil. some of this oil fell through the gratings onto the dgs seal rack of hp1-2b compressors below. after replacing the cap, the technicians made a preliminary clean-up of the area before returning to the accommodation to inform the area authority, productions supervisor and re commissioning engineer of the incident.after showering they visited the medic for a quick check up.area around lp compressor wiped downbarriers erected around part of hp1-2b dgs rack pending clean-up due to slip hazard - no release to sea, all contained. ",ORGP
fuel spill or leak,"seal failure of hydraulic system an o-ring on the steering-drive cylinder of a new caterpillar scraper failed, spilling 2 ounces of hydraulic oil onto the ground. the operator immediately deployed the spill kit to absorb the oil. the operator contacted his supervisor and a sshe advisor was notified. an investigation was initiated. ",ORGP
back injury,felt pain in his upper back ip was in his accommodation cabin brushing his teeth when he felt pain across his back. the ip visited the medic who gave him paracatmol in order to reduce the pain. the ip was deemed fit for work. ip visited medic.supervisor informed ip not to over exert himself and to report back to him if pain got worse,ORGP
"lifting or moving loads, line strike","two crews were excavating a trench and struck a 1.1/4” pvc gas line and 1/2” pvc line - both empty two crews were excavating the trench to run cable and simultaneously struck a 1.1/4” white pvc gas line and 1/2” black pvc line. lines were empty.  actual of c1 is selected as damage is minor and easily fixed. potential is c1 as the lines were empty and would have been low pressure if operational.   crew stopped work immediatelycrew met up with the landowner on site and confirmed the following:the landowner was not aware of the ½” black pvc line. he mentioned sometimes these lines are used as markers when doing work and could have gotten buried, it is a thin wall thickness and there are bell ends on the line which suggests it is not pressure retaining. the 1.1/4” white line is a gas line. the landowner confirmed this by opening an upstream valve. the valve was closed at the time we were trenching. the landowner thought this gas line was the steel line marked between t-74 and t-75 on the drawing.we have asked the landowner to ensure all valves he has access to are closed and will repair the gas line. ",ORGP
covid,"ip tested +ve for covid-19 ip tested +ve on routine lft, subsequently confirmed by pcr line manager maintaining contact",ORGP
*** Not Classified,ip tested + ip tested + none,ORGP
covid,"employee positive for covid-19 employee was tested for covid-19 and returned a positive result on dec 09 covid 19 is home acquired. has no symptoms, nor has he had contact with other wood employees. although he has not had contact with the client in the last 72 hours, the client has been informed as immediate action. employee is in quarantine as per health ministry of buenos aires province guidelines.",ORGP
covid,individual tested positive for covid-19.  individual tested positive for covid-19. individual was self isolating due to a covid case in the household. individual  has not been to work for 20 days prior to the positive test.  none ,ORGP
competency,"lack of site required training. a last-minute site visit was requested for the campbell river substation project. an amecfw e&i employee from nanaimo was sent to site without having the required whmis or site safety training, as the dispatching office (nanaimo) thought neither credentials were required due to being escorted by a cat 5 safety watch. the deficiency was noted when the ppa hsse department reviewed the journey management plan and noted the lack of required pre-access training. the site visit was cancelled and the employee left the site. nanaimo hse coordinator coached on amecfw e&i's training requirements.",ORGP
covid,"cameroonian ex-pat tested positive for covid-19. ip is 3/3 personnel to test positive after exposure to another employee.  ip was tested for covid-19 via rapid test after potentially coming into contact with another employee who tested positive on the 26th of march. ip has some mild symptoms and is currently in quarantine in vistamar apartment.  ip is currently in quarantine in vistamar apartment. due to medical history, an isos case file has been opened by the project manager in the event that symptoms progress. trident doctor will monitor condition and pm will remain in contact with ip for updates on condition. due to change in condition of ip and requirement for ip to be on oxygen, decision was made for med-evac process to be initiated by trident energy doctors. ip med-evaced to paris on the 13th of april where they are now receiving treatment. update 19.4.21 - ip is at home continuing positive recovery, no oxygen required and no further covid-19 symptoms. awaiting confirmation of case closure from isos. ",ORGP
vehicle incident general,hydro-vac truck mechanical failure a caterpillar hydro-vac truck was being used to pump water from the oily water sump on the northeast corner of pipe rack 1. the truck was parked on dura-base composite crane mats with the brakes engaged positioned on an incline. the driver was positioned in a safe location outside the truck operating the pump via a hand held remote when the truck slid down the mats and contacted the top of the concrete sump causing minor damage to the sump and truck bumper. it is believed at this time that there was a potential mechanical brake failure that caused this incident. workers involved with this task were positioned outside the strike zone of this event. area was secured and barricaded off. driver was taken to on-site medical for post incident screening. vac truck was removed from service to check mechanical integrity by a qualified mechanic.,ORGP
vehicle incident general,"non preventable, personal vehicle, no injuries wind swung open trash enclosure doors in office parking lot and hit employee car causing dents and scratches to right side of employee vehicle reported incident, no injuries.",ORGP
