category,text,dset
back injury,"left side upper back strain employee reports while testing road compaction using a sledge hammer when employee noticed pain to left side of upper back. workcare contacted, internal documentation started.",ORGP
*** Not Classified,"whilst recommissioning the make up ethylene system after a maintenance window, in which it had undergone project work, two very minor leaks  whilst recommissioning the make up ethylene system after a maintenance window, in which it had undergone project work, two very minor leaks were observed on small bore instrument connections. spie has started investigation",ORGP
foot or leg injury,blister on foot an insulation foreman was feeling pain on his foot and he went to the contractor clinic where they found a small blister. first notification sent out by hsecontractor clinic visit,ORGP
*** Not Classified,"the employee was attempting to start on a pump alignment job, that was already in progress, when it was discovered that he failed to sign off on the permit.  he assumed the isolation and permit was good for all the pumps in the specific area. migrated from legacy cairs incident #32281on friday, february 10, 2017 at 2:30 pm at formosa plastics an infinity maintenance employee was attempting to start on a pump alignment job, that was already in progress, when it was discovered that he failed to sign off on the permit. he assumed the isolation and permit was good for all the pumps in the specific area. migrated from legacy cairs - see detailed description",ORGP
covid,employee communicated a positive confirmation for covid-19  an employee reported a confirmed positive test for covid-19 to site management. the employee has been in isolation since october 10th. wood is identifying those who may have worked in proximity.  appropriate notifications have been completed. this is the third positive result for the 11th  of october. ,ORGP
"dropped object or material, hand or arm injury","cut to hand the security person for the project picked up a box that had been dropped off by a courier.  the box was for the client water treatment plant and contained a floor scraper.  part of the scraper blade, which was not guarded, poked out through the side of the box when the employee picked it up for moving into the shack.  the worker obtained a cut to the palm of the right hand. the wound was cleaned and dressed following standard first aid practices.",ORGP
"vehicle Incident involving animal, lifting or moving loads, vehicle incident general","while driving home from jobsite at 8:00 pm, truck struck 3 deer as they attempted to cross hwy 128 in illinois.  no injuries - all 3 wgm employees buckled in, front grill of truck damaged. migrated from legacy cairs incident #29052on friday, march 18, 2016, while driving home from work at approximately 8:00 pm, driver of truck struck 3 deer that jumped into roadway from ditch. since it was dark, driver did not see the deer until they were directly in front of vehicle. attempted to stop, but vehicle struck all 3 deer causing damage to grille, hood and bumper of truck. police were notified and report was filed. no injures reported - vehicle was still drivable. migrated from legacy cairs - see detailed description",ORGP
"environmental leak or issue, excavations, line strike","subcontractor - natural gas release incident  a natural gas subcontractor, while installing a natural gas riser, in a trench box (4ft excavation) failed to verify isolation and cut into a four inch line (using a sawz all – cold cut method/non spark producing) that released natural gas (low pressure).  all work was stopped as soon as line was breached.  emergency notifications were made and isolation was conducted on the gas line.  a safety stand down was held on may 17th, 2019 and additional stand down is being held on may 20th to review the incident and learning's to date.  a training class and review of natural gas piping purging and equipment installations will be conducted with site subcontractor focal points and supervisors.   the client on site is conducting a joint investigation with wood site hsse and supervision involved.",ORGP
covid,4 unrelated ips tested +ve for covid 4 unrelated ips tested +ve for covid ip isolated. no ccs,ORGP
lifting or moving loads,"the forks reached beneath the pipe which was supported by wood pads (10 cm cubic), the pipe was slid forward onto the concrete road at about 09:40, a.m. sep.6th, 2018, on the road south to the eto plant, there was one pipe with dn 24 inches, 4.3m long and 445kg (600*7mm*0.02466*4.3?lying on the road. the forklift operator mr. chen was assigned to move this pipe to the stacking area, and mr. liu yi fei is a trained flagman and he was responsible for directing the forklift operator, meantime the work crew foreman mr. yang jian feng and another worker were standing at aside of both ends of the pipe for supporting. when the forks reached beneath the pipe which was supported by wood pads (10 cm cubic), the pipe was slid forward onto the concrete road, which made a collision noise. about 10:35 a.m., because the civil contractor needed the location for pouring concrete and the pipe shall be removed away. then, a piece of 2t lift web and the 5t forklift were used for lifting the pipe up a little up the road and 2 pieces of wood pads (10c cubic) were laid under the pipe, and wood pins were used for stopping the pipe from rolling. a 25t crane was used for lifting the pipe onto the forklift and secured with ropes with the forklift and the flagman guided the forklift to the stacking area.",ORGP
