category,text,dset
"head or face injury, back injury","an altrad scaffolder suffered a scratch / cut on his right ear lobe. an altrad scaffolder made a movement while building a scaffold and hit a scaffold rosette with his right ear lobe. this resulted in a scratch / cut to his ear ""-fa treatment given by contractor clinic-scaffolder went back to work after treatment.-field investigation done by afw-first notification sent by afw""			",ORGP
"weather related issue, slips & trips, foot or leg injury","scaffolder slipped on a wet aluminium plate. as the ip was passing scaffolding materials to another scaffolder, the ip turned around to fetch more materials, he then walked down some scaffold steps onto the casing part of the submarine and stepped onto an aluminium plate and slipped. the ip slipped and fell onto his right side and knocked his right knee on the submarine casing. he described the knee to be sore however did not require medical attention. ip would have gone back to work but didn't complete witness statement until 13:45 when work had finished. during this incident there was heavy rain and strong winds. ip and his work colleagues had been asked to stop work due to the inclement weather. ",ORGP
"vehicle incident general, speeding",wgpacs employee was turning left on rt 54 at an intersection when a speeding vehicle made contact with wgpacs employee. migrated from legacy cairs incident #28654wgpacs employee was at a stop sign at the intersection of strick road and rt 54. employee looked both ways before proceeding forward to make a left onto rt 54. asthe employee was making the left a speeding vehicle drove up and struck the employees vehicle. there were no injuries as a result of this injury . migrated from legacy cairs - see detailed description,ORGP
back injury,ip reports while donning survitec suit at heliport yesterday for second time he felt sharp discomfort to left lower back. migrated from legacy cairs incident #30114ip reports while donning survitec suit at heliport yesterday for second time he felt sharp discomfort to left lower back. ip stopped what he was doing and it resolved and he continued donning suit with no further issue. today ip reports felt pain to back through night and upon awakening this am. ip now reports to health center for assessment. no treatment at this time. rtw full duties. rtc as needed any further issues or concerns. supervisor notified.. migrated from legacy cairs - see detailed description,ORGP
hydraulic fluid or oil leak,operator found a small hole in the hydraulic line resulted to an oil leak. the machine operator  smelled hydraulic fluid and stopped his machine (ex08). upon inspection under his excavator he observed a small hole in a hydraulic line which had resulted in an oil leak to grade. approximately 1-2 liters of hydraulic fluid went to ground. 1. absorbent pads put down and contaminated soil/pads cleaned up and taken to hydrocarbon bin at thomas contracting workshop. 2. incident reported to wood hse.,ORGP
*** Not Classified,"snake sighting migrated from legacy cairs incident #32212whilst walking from admin block to a block at north pine ann dillon sighted a snake on the path. snake was small, non-patterned and brownish color, approximately 40cm long moving in direction of a block. seq water incident was notified. report only migrated from legacy cairs - see detailed description",ORGP
general injury,"the employee was lifting a trash bin to dump into a large dumpster.  as he lifted the bin it slid on the side of the dumpster and began to fall.  in attempt to catch the bin he felt discomfort in his right shoulder. migrated from legacy cairs incident #32144on monday, january 23, 2017 at 8:30 am at the infinity fab shop an infinity construction employee was lifting a trash bin to dump into a large dumpster. as he lifted the bin it slid on the side of the dumpster and began to fall. in attempt to catch the bin, he felt discomfort in his right shoulder. migrated from legacy cairs - see detailed description",ORGP
hand or arm injury,"a concrete pump arm, spanning across the top of an existing scaffold (erected by wood group for the project), suddenly dropped upon operation causing significant damage to the top lift of the scaffold. no personnel were on the scaffold at the time. migrated from legacy cairs incident #32122during the pumping ofconcrete into a building (undertaken by the principal contractor's sub-contractor), the concrete pump arm suddenly dropped upon operation, causing significant damage to the top lift of a scaffold erected by wood group. no-one was on the scaffold at the time of the incident. wood group scaffolders werepresent on thesite at the time of the incident and upon being made aware of what had happened by the principal contractor dulycontacted their supervisor.the scaffold supervisor arrived on site to assess the situation and together with his scaffold teammade safe the scaffold, which includedmodifying the top liftto facilitate safe operation of the concrete pumping task. migrated from legacy cairs - see detailed description",ORGP
vehicle incident general,forklift contacted a concrete barrier while maneuvering a water tank into position. employee contacted a concrete barrier with a forklift when attempting to maneuver a water tank into position to be refilled. incident resulted in the lower door glass being shattered on the forklift.  incident was reported and investigation was initiated. ,ORGP
covid,"employee tested positive for covid 19. employee developed covid mild like symptoms aboard gc-641 and was flown in to gailliano for covid 19 rapid test, returning positive results. ee has mild symptoms that are improving. contact tracing is complete.  employee was sent in upon reporting symptoms for rapid testing. ",ORGP
"line strike, vehicle incident general, hand or arm injury, lifting or moving loads",while installing under drain mini excavator struck known and marked communication line. on 9/11/19 at approx. 3:30 pm crew was installing 6'' under drain approx 1' in depth at project summit park. crew had walked the site over and identified known marked lines at this time and began to hand dig to locate utilities. crew successfully located the first utility and began to locate the next utility. while the excavator was removing spoils he struck communication line they were hand digging to locate. work was stopped and hssea and management was notified. communication line owner also contacted. post incident and accident drug/alcohol test conducted. site utilities were re-marked and badger(hydro-vac) day lighting services utilized the following day. ,ORGP
*** Not Classified,"the welder got scalded on his left ankle by welding slag.   ip got scalded on his left ankle by hot slag while arc gouging underneath a panel.  report the incident to night shift hse staff, and received first aid in the infirmary room. ",ORGP
"line strike, vehicle incident general, lifting or moving loads","a united site service driver was backing up to septic when the truck came in contact with pvc water line. at approximately 10:15a.m, a united site services driver was backing up a company owned truck to a septic tank in a congested area. the driver was using his back up camera while trying to back up to septic tank and the truck came in contact with the pvc water line on ground. potential - the employee struck pvc water line while backing up, damage less than $10k. incident was reported protocol was followed, employee was taken for a drug screen on site.",ORGP
*** Not Classified,"team member noticed lump in abdomen area above navel while showering evening after shift. team member states that on evening of 5/21/2020 (after shift) while showering at home, a lump was noticed in abdomen area above the navel. the team member is unaware of the source of the lump or an event which may have caused it. once arriving to work the next morning (5/22/2020) the team member reported the lump to his superintendent. safety was informed by team member's superintendent on 5/22/2020 and he was immediately taken to the pa on site for evaluation.",ORGP
general illness or health issue,"ip was stung on tongue by a yellow jacket that got into ip sport drink bottle during lunch time  on tuesday, october 19, 2021, around 12:20pm, ip was seating inside utv, having lunch and had sport drink bottle opened, on passenger seat. ip grabbed bottle to drink and yellow jacket just went into ip's mouth and stung tongue, when ip tried to spit out foreign object that had gotten into drink which at the moment, ip did not have a clue of what it was. once it came out of the mouth, ip identified object as an insect (yellow jacket). ip was brought to onsite medic where he was evaluated, but no treatment was provided. after being observed by wood hsse, ip was released to return to work. the actual severity rating is a b1 since ip was stung but did not received treatment. the potential severity rating is a b1 since ip confirmed that he has been stung before without experiencing any allergic reaction to stings. ip was evaluated by onsite medic; no treatment was provided and was released to return to work. jsa remained open since ip was on lunch break when incident occurred. project purchased additional bee traps to set on sub area c, next morning. investigation was initiated.  ",ORGP
"near miss, hand or arm injury, line strike","near miss, temporary 480v cable hit while excavating on 8/16/2018, electricians were excavating a trench under a permit which stated the maximum depth of their trench would be 2 feet and it would be soft dug (by hand). the excavation ran  from inside of the parking lot to a major power distribution panel on site.  however, prior to the start of the work, personnel were redirected to use a mini excavator by the foreman.  when trenching was approximately 85% complete, the operator dug up a temporary 480v electrical line in cased in pvc, and lifted it in an upward direction.  the cable was found approximately 20"" below grade.  when exposed operator stopped all operations.  however not before cable was lifted approximately 18 - 24 "", which broke the terminal block causing the electrical line to be disconnected from the fuses at power distribution panel. stopped all work in the area. after contacting supervisor and safety equipment was de-energized and locked out. safety stand own soon followed.",ORGP
"near miss, dropped object or material",the plank clamp dropped through the gap between scaffold planks to ground level from height about 10 meters. no injury or property damaged. on 10 nov 21 at 14:08 p.m. the scaffolding teams (keafer subcontractor of ucs ) was dismantling the scaffolding at area 3 (el+126). while dismantling the scaffold a plank clamp fell from height at 10 meters to the grating floor below. preliminary investigation found a gap between the two planks that stretch over standard width. the clamp dropped in  barricaded zone no one was in the drop zone. 1. stopped all work on scaffolding.2. provided safety stand down to all scaffolding workers with the near miss.3. demonstration of how the clamp dropped.4. recheck the clamping of scaffolding in des 15 construction. ,ORGP
covid,20 contractor's employees diagnosed with covid-19 (additional case from cairs number 20212671) 5 contractor employees in quarantine area as close contact persons (high risk) were tested pcr test under local authority process and result positive of covid-19. 15 contractors employees were positive antigen test from active case finding test on site and confirmed pcr from local authority testing. - maintain covid-19 control measures on site and working closely with local authority for prevent covid-19.,ORGP
theft,"fuel and a battery were stolen from a tracked excavator during the night archaeological trial trenching is currently underway on the site. programmed dates from 2nd – 13th october.on the night of wednesday 4th october fuel and a battery were stolen from a tracked excavator. the museum of london archaeology (mola) site supervisor raised with the mola project manager (pm) who raised this with amec fw archaeologist. fay raised this with amecfw pm who raised a heart card. craig halsey (mola) reported the incident to the police: crime report reference kezuukrkxp. the mola project manager reported to the amecfw archaeologist that he thought the best course of action was to employ a security guard that evening and over the weekend for the remaining duration of the project. amecfw archaeologist agreed this was the best course of action and reported this to the amecfw pm, who then went back to the client to ask if they would be happy for us to employ a security guard and for them to pay. by experience thefts like this usually escalate each night, especially when in a publically open space such as this site, where many people walk their dogs etc.the mola site supervisor provided the amecfw archaeologist with a quote for £8.95/ hour plus vat from a security contractor they had previously used: armstrong security (uk) limited. he emailed the quote directly to the amecfw archaeologist and she reported this tothe amecfw pm.  the amecfw pm emailed our client contact at dartford borough council on 5th october at 17:14. he responded the next day replying:“we have had a large traveller visit over the last couple of days; however they have moved off now. i’m happy to consider this over the weekend and review any attempted incidents next week to see if there needs to be acontinuation.”the amecfw archaeologist informed the amecfw pm that she needed to tell the contractor to not go ahead with the security guard on the 6th of october. she challenged this and sought advice from the hsse director and her senior colleagues.she conveyed the advice that the pm and pd and bud should review whether the cost could be billed to the project. the pm and the pd/bud refused. she communicated this to the subcontractor and emphasised that she was not satisfied with the outcome and believed this was wrong (in terms of hsse, ‘doing the right thing’ and reputationally), and would therefore continue to challenge this internally. the subcontractor was very shocked at this response. he said if he hadn’t have already employed the contractor he would have stopped the job completely as it would make their job impossible to do within the two weeks programmed when their essential equipment is being stolen nightly. the job had to becompleted before the reptiles on site went into hibernation. she forwarded this information to the pm and pd and they continued to refuse to review the situation stating that i had done all i could.she raised this again with the hsse director and her manager sean steadman who escalated this to christina warner bud. pending a response.the approved health and safety plan states that we would review the need for security when on site.leamington:\projects\39082 stone lodge outline planning\8 health & safety\archaeology\h&s plan issued 27_09_2017",ORGP
"vehicle incident general, lifting or moving loads","while moving the crane to the jetty, outrigger made contact with main gate barrier causing minor damage.  on the morning of the 18th of july the ip (involved person) was tasked with loading a boat on the jetty by crane. the crane was required to be moved to the jetty. the route to get to the jetty could be via side gate or main gate. ip chose to drive the crane out the main gate which is a tight fit for the crane to get through. while doing this, the outrigger made contact with the barrier causing the outrigger to scrape the barrier causing very minor damage (scrape).  awaiting immediate actions taken after incident from site report however we know that ip was as per site protocol for vehicle incident taken to the site clinic for a check up and drug and alcohol testing. ip did not suffer any injuries from event. ",ORGP
covid,employee communicated a positive confirmation for covid-19  an employee reported a confirmed positive test for covid-19 to site management. the employee has been in isolation since december 21st.  wood is identifying those who may have worked in proximity.  appropriate notifications have been completed. this is the second  positive result for the 21st  of december under site contact tracing program.,ORGP
"head or face injury, lifting or moving loads","skid steer operator struck top of head on metal frame resulting in a laceration.  a subcontractor operator was using the skid steer with a broom attachment to clean the roadway. as the operator traveled to the north side of the project, the broom attachment cleats struck the lip of a raised, concrete duct bank that ran across the width of the road. the duct back elevation is approximately ¼” higher than the grade of the asphalt roadway. when the skid steer contacted the duct bank, the operator was abruptly forced forward and upward contacting the top of his head with the roof of the machine’s safety basket enclosure. the impact resulted in a laceration. the operator was taken to the local clinic where he received six staples to close the wound. due to the medical treatment the actual severity is a b2. the potential severity if also a b2. employee taken to clinic where he received 6 staples to close the wound. a substance test was taken.",ORGP
*** Not Classified,"maintenance staff from wood group were to conduct cleaning works on the lime dosing system, when they found that the acid system pipework had been partly dismantled however dosing pump was still operable. migrated from legacy cairs incident #31817whilst attempting to carry out a planned maintenance activity at landers shute wtw, personnel noted that theacid dosing pump was not locked outand discharge waspartially dismantled. they were concerned that the pump starting could have resulted in acid being discharged from the dismantled joints with the potential to contact workers in the vicinity. migrated from legacy cairs - see detailed description",ORGP
"hand or arm injury, knife incident",retractable blade knife slipped causing a laceration to the ip’s palm . migrated from legacy cairs incident #33503the mtc incident occurred at sorfert fertilisar plant at 10:20am. the ip was attempting to remove a plastic ring from a metal pole and chose to use a retractable blade knife. the blade slipped causing a laceration to the ip’s palm requiring two stitches. it is unclear at this time why the ip chose to use a blade for this task or where the blade came from. wg somias hse lead has deployed to the site today to continue investigations migrated from legacy cairs - see detailed description,ORGP
*** Not Classified,"while transporting the micro pile machine a hydraulic hose broke and released the rest oil that was present in the hose. while crane operator was driving the micro pile machine on lane e a hydraulic hose broke off and released the rest oil that was still present in the hose. stopped the machine, spillkit was used on the area where leak spilled.",ORGP
back injury,working on quick deck securing scaffold equipment with chain and bent forward at waist experienced sharp pain in back working on quick deck securing scaffold equipment with chain and bent forward at waist experienced sharp pain in back. and has been experiencing discomfort. ip self treated with non prescription medication. medic offshift and reported to medic at end of night shift 06:25 on 2nd ip reported to health centre to continue non prescription medication and apply ice for 20 mins every 2 -3 hours while awake and before bed and carry out range of motion exercises,ORGP
vehicle incident general,"uptured tyre while commuting on business to shah field, adnoc sour gas using 3rd party rental company with 4 x wood staff onboard. wood tcs have rented a 3rd party car as a replacement vehicle with driver to drive the 4 x wood staff to shah field, adnoc sour gas for a job. as the car approached shah field, the tyre of the car has ruptured (see photo). they were lucky that the car wasn't driving at high speed as it was approaching the camp the tyre was replaced and the journey has continued. the issue was raised immediately to the tcs leadership team and a meeting is scheduled with the car rental company to investigate and take immediate action",ORGP
hand or arm injury,worker felt tingling and numbing sesation in his hand when he grabged a power box  two movers were involved into clearing one of wood power & energy employees' office on the 6th floor. one of the movers grabbed the power box to unplug it and felt tingling and numbing sensation in his hand. the second mover quickly unplugged the power box.  the second worker present during the incident unplugged the power box. the worker involved into the incident took a short break and continued with his duties. the incident was reported to the office manager. ,ORGP
*** Not Classified,"the trailer has bottomed out damaging the handle on the fold up jockey wheel  the trailer has bottomed out damaging the handle on the fold up jockey wheel  notified supervisor, hse advisor and wood epcm  investigation commenced.",ORGP
"electric shock or issue, eye injury or irritation","direct exposure to electricity, unspecified an employee was installing an electrical system neutral when the wire came into contact with the energized side of an insulator, creating an arc flash. the employee received electrical burns to the hands and was hospitalized.",OSHA
hand or arm injury,"caught in running equipment or machinery during regular operation on march 31, 2016, an employee experienced the amputation of the left middle fingertip when it was caught between a conveyor belt and a pallet. the employee was hospitalized for surgery.",OSHA
"head or face injury, foot or leg injury","hitting, kicking, beating, shoving an employee heard a commotion in the parking lot. when the employee asked three individuals to leave, they assaulted him. the employee was hospitalized with a broken leg and injured ear.",OSHA
foot or leg injury,"pedestrian struck by vehicle in nonroadway area, unspecified an employee was standing next to a forklift when it turned and caught the employee's leg, resulting in hospitalization with broken bones.",OSHA
"dropped object or material, hand or arm injury","struck by falling object or equipment, unspecified an employee was positioning storm drain grates on the back of a truck. a grate dropped on the employee's left hand, amputating the little finger below the first knuckle.",OSHA
general illness or health issue,"overexertion and bodily reaction, unspecified an employee collapsed while loading the meat case and was hospitalized for a possible heart attack.",OSHA
