category,text,dset
covid, a wood employee tested positive for covid 19   a wood employee tested positive for covid 19. ee has mild symptoms and will home quarantine. contact tracing has been conducted - ee was not around any employees.  ee instructed to home quarantine. ,ORGP
"head or face injury, lifting or moving loads, vehicle incident general","during the maneuvering operations a road cart, a tire struck against a piezometric coloumn. during the maneuvering operations a multi-axle modular trailer, used for the transport of the f101 oven radiant modules, a tire struck against a piezometric column of the refinery's freatimetric and hydro chemical system. the impact broke the external protection and of a few centimeters of the head of the internal 4 ""piezometric tube, as well as a vertical split of about 50 centimeters, from the ground level, along the stretch blind. additional signs put on site and integration of the existent protection.further maneuvers near the piezometer will be carried out with the aid of a second control maneuver, also optimizing the communication between the various subjects involved in the operations.",ORGP
"foot or leg injury, head or face injury","ip suffered a slight graze to the back of his head migrated from legacy cairs incident #30399incidentaround 12:00pm when walking to the crib room to have lunch the ip was walking up the stairs when he felt his body start to fall when his left ankle rolled from under him, this happens at intervals due to his current condition and the lack of having feeling in his left side, when he started feeling himself fall he was able to step down the stairs towards the ground and continue falling and rolling in a controlled way to the ground, when the ip rolled his head hit a small stone grazing the back of his headother observationsthe ip explained that he was not holding the handrail when climbing the stairs and at the time his hands were emptyhis boot was not tied up tight around his ankle this reduced the support migrated from legacy cairs - see detailed description",ORGP
foot or leg injury,employees leg made contact with small spool causing first aid injury. the wire grounding crew was scheduled to ground at block 4. the crew started by cutting the ground cable at the main laydown yard near the electrical tool room. after cutting the ground cable the crew proceeded to move the ground cable reel to its proper storage. at about 8:00am the crew started to roll the ground cable reel with a pipe placed through the spool. when the employee attempted to turn the spool in the desired location the employees left shin made contact with the edge of the pipe and right knee made contact with spool.  employee was evaluated by the site medic and released to work. incident is under further investigation and rca will be submitted for corrective/preventative measures.,ORGP
covid,"nine (9) weber employees tested positive to covid-19 nine (9) weber employees tested positive to covid-19. the workers no longer present on site since 21rt april due to possible contact with other employees sick to covid-19. pcr tests, today, confirmed their positivity to disease. employees positive to covid-19 continue their quarantine.",ORGP
"foot or leg injury, hand or arm injury, slips & trips","ip states at approximately 1340hrs was out on m03 main deck starboard with group of six other coworkers preparing to pull instrument cable for hp system. ip stepped over piping and lost footing and fell forward and partially caught fall with left arm migrated from legacy cairs incident #29056ip states at approximately 1340hrs was out on m03 main deck starboard with group of six other coworkers preparing to pull instrument cable for hp system. ip stepped over piping and lost footing and fell forward and partially caught fall with left arm and felt tear to left upper arm. ip was able to get up after fall without assistance and felt no apparent injury. ip reports when attempted to continue work and use left arm felt weakness and cramping to left upper arm. ip stopped work and reported incident to supervisor and now reports to health center for assessment. treatment provided for left arm injury and abrasion to right lower leg. ip off work. plan for casevac onshore in am for further evaluation /treatment. rtc in am prior to casevac and as needed any further issues or concerns. supervisor notified. *medical evaluation is ongoing and severity of the incident may change. 31st march 2016 update ip was seen by aoms (medical provider)and cleared to return to work with restrictions (no lifting, climbing ladders or use of left arm note ip is right handed). ip appears to be well with the obvious arm limitations. it is thought to be a bicep tendon but ip has a specialist appointment on april 5th. once ip has had this appointment ip will return to aoms for assessment and definition of the treatment plan. ip is currently on 3 week field break and is not due to return offshore until april 13th. on the assumptions that the restrictions remain in place ip will be on modified duties and we with the employer will assess and accommodate as we can. this of course will be dependent on the outcome of his specialist appointment. cairs entry updated to a rwc with 0 days restricted as he was due to demob onshore while ip was held by weather offshore. also please note that whilst this is a rwc it has the potential to become an lti should the ip require surgical intervention and that takes place during ip’s 3 week working rotation, again we with the employer will assess post his appointment with the specialist. update 8th april. ip has had mri and seen specialist and is undergoing surgery 12th april. aoms will review and assess on 14th april. this case is now classed as lost time as ip will not be available for work on 13th aprilupdate 18th april ip had successful surgery on 13th april. ip was assessed by aoms 15th april and is cleared for restricted work.ip is an offshore employee on a 3 week on 3 week off rotation. his current rotation would have started on 13th april. ip cleared ot return to work offshore on full duties 15th august migrated from legacy cairs - see detailed description",ORGP
"foot or leg injury, hand or arm injury, slips & trips","ip fell down a step entering the gym at a hotel, whilst travelling on company business. during a stay at the hilton double tree in bristol whilst away on business, ip did not notice a poorly marked step in their fitness centre and tumbled down the step. ip fell on their face and ended up with a thick lip, hurt their left foot, right knee (knee cap) and left hand.  the left hand and foot are still quite painful. the step fallen down was located just inside the entrance to the gym, and was approximately 2 to 3 inches high, with grey carpet. hazard tape had been placed on the step which was very worn, and so not very visible.  reported to hotel, saw their first aider, and signed the hotel site accident book.called an amecfw colleague and asked them to raise a heart call 201710893.",ORGP
"lifting or moving loads, line strike","a crane operators initial travel path could not be used due to vehicle traffic & an alternate route was chosen. the operator completed the work, took the same path to exit the area & contacted an overhead ground cable, breaking the cable. migrated from legacy cairs incident #34678on wednesday, september 27, 2017 at 2:20 pm at the phillips 66 jones creek terminal an infinity construction crane operator was being escorted by a spotter from job trailer area to the construction area to place shoring in an excavation. the intended travel path to the work location was blocked by other contractors vehicles and a pump truck. due to this interference, the operator and spotter took a different route around the control room. the operator made it to work location and performed placement of shoring in excavation. after completing the work the crane backed up from work location and made a right hand turn and went to travel back to job trailer using the same travel path they took to the work location. the spotter was placed in front of the crane, they drove approximately 20' and the boom of crane contacted a ground cable that was overhead between power poles. the ground cable is not energized. the energized power lines were approximately 8-10 feet higher on pole and were not contacted. once the ground cable was struck, it broke the ground cable. other employees in the area noticed the crane contacted the line and hollered to stop the operator. all work was stopped and the investigation was started. the operator and the spotter were taken for post incident drugs screens. migrated from legacy cairs - see detailed description",ORGP
covid,confirmed positive for covid-19 employee received positive covid-19 test results. no other wood employees in close contact.,ORGP
"non-work related injury or illness, foot or leg injury, head or face injury, slips & trips","location:  movenpick hotel, al khobar, saudi arabiaemployee slipped and fell while walking from the bathroom.employee sustained a non- work related injury. migrated from legacy cairs incident #31913below is the excerpt from an email from billschock:i've had an interesting night. i slippedcoming out of the hotel room bathroom and fell hitting my head on the floor. the blow split the skin on my forehead above my left eye. i stopped the bleeding with a towel and called the hotel desk for help. they sent someone up and decided to escort me to the nearby hospital. i received eleven stitches (i think), a tetanus shot, and a prescription for antibiotics. hotel paid for all so far. i am sore but ok.the hotel room entry and bathroom floors have very smooth granite tile - no carpet or rugs. the bath is right off the entry and leaving the bath, you make a left turn to go to the rest of the room. i must have spilled some water in the entry just outside the bathroom. i was barefoot and headed back to bed when i came out of the bathroom, turned,and slipped on the water. the floor was so slick, i fell immediately and did not get my arms out to brace the fall. instead i landed on my side and head.date: 13dec2018approximate time: 01:00amlocation: movenpick hotel, al khobar, saudi arabianame: bill schockaccident: fallinjury: stitches, bump, and soreness migrated from legacy cairs - see detailed description",ORGP
