category,text,dset
head or face injury,"section of metal grating fell from small height causing minor head injury. during the entry into an enclosure, wood employee was positioned around 30cm below the grating floor, while some sections of that grating were removed to gain the access to the enclosure. during the task, one of clients operations supervisors came to the area with the inspection, he stood on one of the grating panels causing it to dislodge and fall below. grating weighing approx. 10kg came into contact with ips hard hat, causing it to fall. part of the grating panel made contact with ips head causing a minor scratch. the ip was evacuated to the cmt gbrs where he received first aid without medical treatment. ip returned to his work station following an examination.an investigation has been launched with wood representative on site to find out incident causes.",ORGP
head or face injury,"the ip bumped their forehead on a glass door.  on friday, february 26, 2016, the ip was walking out of a conference room on the 4th floor while talking to someone instead of looking ahead. the ip ended up walking into a glass door which caused him to bump his forehead. the ip didn't receive any treatment. this incident was not reported to the hsse department until 5 days later. no immediate action was taken as this incident was not reported to the hsse department until 5 days later. ",ORGP
"back injury, lifting or moving loads, vehicle incident general, excavations","power line stretched during excavation for storm drain excavator operator pulled concrete obstruction identified within a small trench excavation (intended for stormwater infrastructure installation).  the concrete obstruction appeared to be waste concrete materials from historic maintenance work at the facility.  in the process of pulling the concrete obstruction, a conduit containing 480v power conductors for the lime silo was stretched, resulting in a gfi trip to the lime silo junction box and subsequently resulting in power loss to the central treatment plant. previous locates did not identify this conductor.  the line was not marked, was buried at a depth of approximately 2 feet and contained no warning tape. the line was buried adjacent to the concrete obstruction. during the excavation process, the operator encountered a piece of concrete.  after ascertaining that the concrete did not contain duct banks, etc, he proceeded to remove the concrete obstruction.  teeth of the excavator struck the electrical conduit.  although the conductor itself was not contacted by the excavator teeth, the insulation was nicked and the conductors were pulled tight at the lime silo breaker.  the lime silo breaker tripped creating a ground faultwhich in turn tripped the main mcc breaker. electrician arrived on site at 1615 hours and repaired the damage by reinsulating the nicked electical wires and pulling slack back into the lime silo disconnect.  full power was restored at 1800 hours.there were no injuries as a result of this incident.a full safety stop was issued for all excavation operations at the site until the sr hse manager was able to investigate and close the incident. ",ORGP
covid,non work related covid case  wood contractor was taken of the rig after testing positive for covid. person removed from rig and now self isolating at home,ORGP
hand or arm injury,"skid steer operator closed equipment window that then shattered resulting in an abrasion to the left index finger.			 at approximately 10:45 am, on april 28th, 2021, a skid steer operator was tasked to mow grass in block 1. the operator was performing an equipment inspection prior to initiating the task and closed the window on the right side of the john deer 331g skid steer. the operator used both gloved hands to shut the window when the force applied resulted in the glass shattering, causing an abrasion (less than 1/8”) to the ip’s left index finger. the actual and potential rating were chosen as a b1 due to the injury to the team member resulted in first aid treatment and the cost of the window replacement will be less than $5k.			 scene was frozen in a safe condition. ip was escorted to the safety office where first aid treatment (cleaning and bandaging of the wound) was provided. the operator performed a post incident ua and was released to work with no restrictions. investigation protocols were initiated. skid steer was put out of service until repairs can be made. vendor notified of damage to skid steer and a repair notice will be generated.			",ORGP
lifting or moving loads,"wood employee was unloading chemical containers from a trailer with a skid steer with forks when a container fell off the trailer on 03/10/2020 at the eog wayzetta yard, a wood employee was unloading chemical containers from the back of a trailer with a skid steer with a fork attachment. employee inserted the forks into the container pallet, then lifted the container and tilted it towards the skid steer to remove it from the trailer. as employee did this, the bottom of the container he was lifting contacted the container sitting on the trailer directly behind the one he was unloading, causing the sitting container to fall off the trailer to ground level. the potential rating is based on the fact that there was no one around the operation when the container fell and there were only a few people total onsite. no spill or leak from the container occurred as a result of the event. work was immediately stopped to check for spills or damage to the container. container was brought into the facility and further inspected for damage. ",ORGP
covid,"a wood employee took a pcr test following a covid infection of his brother; he received a positive result. on sunday morning 27th june 2021, a wood employee reported that his brother who is living with them in the same house tested positive for covid. the employee has not come to office since thursday 24th june, he took a covid test on sunday 27th june and received a positive result on monday 28th june. the employee was asked to self-isolate, contact tracing was completed and the office was disinfected.",ORGP
*** Not Classified,"employee walking through mill, noticed newly installed tray 346 had damaged rungs in a section. worker was walking through mill 1 column g5 area, worker identified newly installed tray 346 had damaged rungs in a section. contacted supervisor, scene secured, investigation initiated.",ORGP
weather related issue,"prolonged polluted runoff from access road network into euchan water due to heavy traffic on the existing forestry road network during a period of severe weather conditions (snow/ice), following the thaw the road integrity degraded to such an extent that a layer of sludge formed on the road surface. existing installed mitigations were unable to cope with this increased loading which led to an undetermined amount of silt laden water flowing into the euchan water. incident reported to sepa. all works stopped on site. mitigation plans prepared and submitted to sepa. mitigation works started as soon as the mitigation plans were approved by sepa. ",ORGP
covid,confirmed positive for covid-19 employee received positive covid-19 test results. employee was in a training on december 21 and 22 with two other colleagues.  employee received positive test results on december 23rd.  additional contact tracing underway.,ORGP
