category,text,dset
covid,a 2nd wood worker was working at home and started to feel the symptoms. performed the covid-19 test and the result was positive. a 2nd wood worker was working at home and started to feel the symptoms. performed the covid-19 test and the result was positive. the ip is symptomatic the employee is feeling symptoms such as body pain. the ip received guidance from the nursing technician regarding the necessary care and will be stay at home for quarantine period,ORGP
"lifting or moving loads, vehicle incident general",pd; kiewit; minor damage to emergency light housing; ks-2016-0165 crew was moving an air conditioning unit into place when it came into contact with an emergency light fixture causing damage to light housing. work stopped and scene frozen. post incident protocols followed. investigation initiated.,ORGP
covid,"ip tested positive for covid-19 o as part of tco's safeguarding practices for managing/monitoring covid-19, a sample screening took place for all personnel officed at the cc2 building at the client's pmt facility.  results identified psnk mac dcc employee was positive for covid-19 with no symptoms at the time of the test.  the local site team is undergoing a close contact practice in line with client requirements. ip is located at tco clinic. the case has been reported to psnk management. the local site team is undergoing a close contact practice in line with client requirements. ",ORGP
"weather related issue, foot or leg injury","big flood at macaé yard, caused by a very heavy rain during the night migrated from legacy cairs incident #36594during last night (march 8th 2018), a very heavy rain has fallen in macaé and our yard was heavily flooded. first actions in the morning were to turn off the electrical energy, turn on pumps to remove the water and allow people to get into the yard to start cleaning and searching for material losses.nobody was injured on this flood inside of wood yard in macaé.. migrated from legacy cairs - see detailed description",ORGP
covid,person in camp tested positive to covid 19.  person in camp tested positive to covid 19.  required to isolate by at least 5 days required to isolate by at least 5 days,ORGP
covid,a wood employee tested positive for covid-19 			 a wood employee received a positive covid-19 test result on 07/22/2020.  the wood employee was experiencing symptoms and scheduled a covid 19 test which was a positive result.  contact tracing has been completed.			 wood management was notified and contact tracing was conducted.  there were no other wood or client employees identified.  			,ORGP
"slips & trips, eye injury or irritation","employee tripped on an uneven surface, fell to the ground hitting an i-beam laying on the ground caused a 2 inch laceration above left eye. migrated from legacy cairs incident #34480employee was walking on a swamp mat when he tripped on an uneven surface. as the employee fell to the ground the employee made contact with an i-beam that was laying on the ground. as a result of the fall, the employee received a 2 inch laceration above the left eye. axiom was notified. migrated from legacy cairs - see detailed description",ORGP
general illness or health issue,"employee was observed looking pale and sweating. when questioned, complained of chest pain and was immediately taken to the local hospital  at around 11:15am, an employee was seen sitting at the reception area looking pale, sweating slightly and when questioned, complained of chest pains. he was immediately taken to the nearby hospital, accompanied by two staff members.  at the hospital, the duty doctor carried out an examination which included an ecg, and blood pressure. both were found to be normal.  the two staff members remained until the employees wife arrived at the hospital. he has been discharged from hospital and is at home resting.   he was immediately taken to the nearby hospital, accompanied by two staff members.",ORGP
*** Not Classified,"ip received first aid treatment to remove dust from eye. migrated from legacy cairs incident #34216ip receivedfirst aidtreatment to remove dust from eye. it is believed that the dust particle may have been on his safety glasses when he put them on.ip attended the medic who flushed dust from his eye using eye wash, he returned to work immediately. migrated from legacy cairs - see detailed description",ORGP
covid,"wood employee resulted positive from rt pcr test reference to the recent bcp activated in shallow water platform, a wood employee resulted positive from rt-pcr test conducted onsite. the ip is currently asymptomatic. the case is currently monitored by our oh team. ip is currently isolated. a close a contact was also identified. both are scheduled to be medevac'd today. the case was referred to the local government health team for coordination and recording. wood oh team is currently monitoring the situation. ",ORGP
foot or leg injury,"ip was working on the north side of 3301,when he rooled his right ankle. ip was working underneath the hrsg 3301 on the north side. ip was giving instructions to his crew about what task to perform when he stepped off the concrete slab and rolled/twisted his right ankle. all work stopped, ip was escorted to the safety office for evaluation and seen by ineos emt. employee’s right ankle appeared to be swollen. ice pack was administered, employee was taken to the local on-site clinic for further evaluation. ip reported to wood safety ,ineos safety, job rep,the ip was escorted to the wood safety office and ineos emt came and checked his out. wood safety transported ip to the off site clinic for further evaluation.",ORGP
*** Not Classified,"2 x wires protruding out of a hole exposed whilst mechanical clearing whilst using a 360 excavator to clear bedrock, 2 x wires were exposed, these where coming out of the ground. (prior to commencement of the vgo project, the client had a contractor clear away a granite hillside with explosives and we believe that this remnants from this activity),  work stopped, area cleared and reported to project management. upon receipt of information the issue was reported to preem (the client), the area was barriered off and preem took control",ORGP
site compliance or practice issue,"employee walked under a suspended load. the pipe crew was tasked with hanging a 24” pipe inside of olefins 1 at the east-west pipe rack.  the crew was planning on using a jlg to install rigging on the pipe once the pipe was in position.  the jlg was parked directly under the suspended pipe.  as the employee was walking back to the jlg to get in the basket, he walked directly under the suspended pipe which was still hanging in the air (crane) waiting to get installed. the ineos construction coordinator was notified along with the ineos shift supervisor and additional ineos safety.",ORGP
vehicle incident general,"preventable, company vehicle, minor damage, no injury not provided not provided",ORGP
"fall from or working at height issue, head or face injury",employee  working on a ladder fell to the floor the injured person (ip) was working off a 10 ft. metal ladder while removing an heating mat element. the ip was on 7th rung when the ladder tipped causing the ip to fall approximately 6 ft. to the ground.  the fall resulted in bruises and a head laceration requiring sutures.   complete check all ladders. all employees have been acquaintet with incident. check if all work at hight are executed in appriopriate way,ORGP
*** Not Classified,"1"" airline cut into accidently while rerouting 1""waterline while in the process of rerouting a 1"" waterline that was locked out a 1"" airline located next to it was accidently cut into instead. ee stopped when air was released from the line. plant was notified and the airline was shut down and locked out so repairs could be made.",ORGP
*** Not Classified,it came to light the rig should have not been in use following a hydraulic issue found when the rig was serviced following the previous incidents that have occurred with the window sample drilling rig the drillers have now let slip that the company that are employed to maintain the rig recommended that during the recent service that the rig should not be used due to the hydraulic system on the rig failing. the rig is to be removed from site and not used anymore. gts who employed the drilling rig have agreed to not use the company again.,ORGP
"slips & trips, lifting or moving loads, vehicle incident general, foot or leg injury","graebel employee was unloading gondola boxes and the boxes fell causing the ip to fall, the following is an excerpt from an email from don rupe with graebeldate of accident: 5/16/16nature of accident: fallnature of injury: leg fracture migrated from legacy cairs incident #30430worker with graebel moving company was unloading atruck in the parking lot of 17000 katy freeway (appaloosa building) location. excerpt from graebel incident report:driver was unloading commercial equipment from the cargo area of 24' box truck. approximately 20 large, empty corrugated containers (gondola boxes) were flat stacked against the side of the van and held in place with a cargo strap. the driver released the strap and was unable to hold the stack upright. while trying to evade the falling cartons, the driver was struck on the back of the lower leg causing a fall onto the floor of the van. migrated from legacy cairs - see detailed description",ORGP
covid,person in camp tested positive to covid 19  person in camp tested positive to covid 19.  required to isolate for at least 5 days. person required to isolate for at least 5 days.,ORGP
hand or arm injury,"gasket cutter broke resulting small cut to left hand palm. a worker was attempting to cut through a gasket with a gasket cutter, in the process; the blade of the cutting tool broke leaving a portion of the blade protruding from the tool. the workers hand continued to travel forward resulting in the blade shard penetrating the workers leather glove and causing a minor laceration to the left palm. worker immediately contacted his supervisor. worker was taken to aecon hsse. the worker was escorted to the onsite medical facility where the laceration was cleaned and a band aid applied. investigation initiated. the worker returned to regular duties. ",ORGP
