category,text,dset
covid,an inspector working for wood subcontractor dnvgl was sent for a pcr test with all site team and has beed diagnosed as covid +ve following a spike in covid19 cases in one site office the entire staff from all stakeholders were sent for pcr testing. a wood subcontractor dnvgl inspector has reported a positive result and will follow up with kuwait ministry of health personnel and commence home quarantine. all staff had already been sent home awaiting negative pcr test result. repeat deep cleaning and sanitation of office space hard surfaces. communication of result with all stakeholders and contact tracing underway.,ORGP
"general injury, foot or leg injury",puncture wound to knee from cladding retention pins in preparation for lifting a platform compressor exhaust from its mountings a mech tech was required to examine the bolts that were to be removed from the mounting arrangement on the compressor enclosure roof.the exhaust cladding had been removed and the large cladding retention pins had been bent/folded over to prevent the hazard from protruding out onto the worksite. due to the confined nature of the site area the mech tech moved along the exhaust and the bent/folded over pin impacted his knee puncturing the ppe and skin.individual alerted the shift process supervisor and stopped the job before making his way to the medic to have the injury checked over. individual stopped the job and visited the medic and had his knee checked over.injured area was cleaned up with plaster applied before returning to normal working duties.time out for safety was held with the on shift mech tech team with all cladding retention pins removed from the worksite before work recommenced.,ORGP
*** Not Classified,"subcontractor backed into parked, unoccupied, wood vehicle while on project site. vehicles were parked at job site. another driver arriving to the tailgate meeting backed into the v-ditch. due to the morning light, the drivers vision was obstructed and backed into the side panel of wood parked vehicle. the damage is minor denting and scrtaching over the rear dirver side wheel well. no injuries were sustained and vehicle was unoccupied during the incident. estimated cost of damage is <$500.  reporting initiated. ",ORGP
covid,"the wood employee was in the hotel performing the pre embark quarantine when was detected as a positive for covid 19, after pcr test.  the wood employee was in the hotel performing the pre embark quarantine when was detected as a positive for covid 19, after pcr test. he is asymptomatic  and was  and forwarded to be recover at home isolated after medical orientations.   the employee was orientated and forward to his home to be isolated.",ORGP
*** Not Classified,"aerial man lift hit pvc pipe contractor was operating an aerial man lift and driving up onto the otc slab.  operator did have a spotter on the north side of the equipment watching for clearance between the tire and 4 anchor bolts.  while watching the north side of the equipment, the south side rear tire rolled over a caution cone which was placed over a 4"" pvc pipe.  the pipe was standing up approximately 1' from the surface of the slab. immediate action was to stop all work and determine why the spotter did not see or properly communicate to the operator the pvc pipe on the south side of the equipment.  ",ORGP
head or face injury,"ip caught head on a motor when attaching sling whilst preparing it to be moved into position, casuing small cut to forehead the ip and his team were preparing a motorised pump to be transported via trolley ready for it to be lifted in to it's final position.  the ip was attaching rigging equipment to hold the motor in position.  as the ip knelt down to attach the sling to the pull lift, he caught his forehead (above his left eyebrow) on the corner of the electrical box attached to the side of the motor. the ip immediately reported the incident to an amec foster wheeler area engineer who contacted the amec foster wheeler hsse advisor, whilst an amec foster wheeler supervisor called the onsite medical team on 2222.the onsite medical team cleaned the wound and attached x2 steri strips.the ehs team highlighted the incident in the tool box talk to be distributed the following morning.",ORGP
head or face injury,"employee misjudge the distance of the attached bumper compressor. attempted to reverse and made contact with rear passenger quarter panel of e-1489. no injuries were sustained. migrated from legacy cairs incident #31107supervisor went to a previous site location to pick up a bumper compressor. on route to new location employee stopped at redmans to pick up some parts. employee parked on the south end of the parking lot with the thought to pull forward and make a 180 turn to his right to exit the parking lot and toavoid reversing. employee was alone and when he attempted to complete his turn, the front endof the truck reached a curb, not allowing the employee to complete his turn. employee attempted to reverse and check the right mirror to assure clearance but misjudged the location of the compressor. as he released the break the compressor made contact with the rear quarter panel of the truck. employee notified equipment manager and safety. migrated from legacy cairs - see detailed description",ORGP
"line of fire, line strike, general injury",ip received cut to neck following trying to move piece of scrap metal. at 09:00 on thursday 14th november ip was trying to remove piece of scrap metal from waste metal container which was not freely moving. ip pulled piece of metal sharply and was in line of fire and metal struck ip's neck causing small cut.ip was assessed on site before being taken to local hospital and medical glue used.ip returned to work and normal duties following incident. team briefed on incident.,ORGP
"security or general safety concern, vehicle incident general","a forklift operator was transporting a 4""x20"" structural ""t"" from the laydown yard top pp-ii shop and contacted a parked car with structural ""t"".  no spotter or escort was used. migrated from legacy cairs incident #36079on december 6, 2017 an eg tool room attendant operating forklift was moving a transporting a 4""x20"" structural ""t"" from the eg laydown yard to the pp-ii shop. driving down a street where vehicles are parked on each side and another vehicle approaching her, she moved over too far right and the beam struck the rear door of a parked car. there was damage to the rear door of the parked car. the vehicle owner was contacted and reports filed with the client. no spotter or escort was used. migrated from legacy cairs - see detailed description",ORGP
covid,wood employee tested positive during the pre mobilization rt-pcr test a wood employee assigned in swp tested positive during their managed quarantine in somerset hotel as requirement for mobilization. he is currently symptomatic and is now being monitored by the oh team. the case was referred to the local government health team for coordination and recording. ip is now monitored by the oh team.,ORGP
