category,text,dset
covid,53 workers infected covid-19 53 workers were identified as atk positive from weekly atk test and then ips were confirmed by hospital and home isolation. 1. subcontractor disinfected the working area & temporary office. and increased disinfection 2 times/day at temporary canteen. 2. provided daily inspection checklist for covid 19 measurement. 3. isolate high risk/close contact out off working. 4. covid 19 measure walkdown. 5. inform to all employees about the who are high risk from family and high risk from house rental must be inform covid 19 coordinator immediately.,ORGP
"fuel spill or leak, hydraulic fluid or oil leak","minor oil spill (hydraulic oil) from tractor exiting site onto a713 to west of brownhill gate minor oil spill (hydraulic oil) from tractor exiting site onto a713 to west of brownhill gate. a thin spray of hydraulic oil was discovered along a section of road (c.200m) and in a small parking area just off the a713 opposite the site entrance where the tractor had pulled into.  absorbent pads were deployed beneath the tractor to contain any further leaks until a fitter arrived to inspect the plant. it is likely that around 2-4l of oil was spilt. the access track was scraped by a grader and the contaminated stone placed in hazardous waste bags. this will be taken to the yard for disposal by a licensed waste carrier. the small parking area will be scraped later today to remove any contaminated stone once the fitter has repaired the machine. no harm was caused to the surrounding environment as a result of the spill, the weather was dry all day. ",ORGP
head or face injury,"operator reported feeling discomfort/irritation to their face after they began to perspire. on june 24th, 2021, at approx. 15:15 a wood operator reported discomfort to their face. the operator had been working at the reaction tank area and had been exposed to some fly ash that traveled over to their work area from the fly ash loading area (dry loaders) earlier in their shift. as the operator later on began sweating, they felt a burning sensation to their face. incident potential rating set at b-2 for the potential of requiring medical treatment. ip immediately reported incident to their supervisor, ert was called and provided first aid. occucare was consulted and ip returned to work with instructions to follow up at the end of shift or immediately if condition worsens. follow up conducted with ip and occucare the following day and was provided instructins for care and returned to work. no further discomfort reported.",ORGP
covid,employee communicated a positive confirmation for covid-19  an employee reported a confirmed positive test for covid-19 to site management. the employee has been in isolation since october 5th. wood is identifying those who may have worked in proximity.  appropriate notifications have been completed. this is the eight positive result for the 6th of october. ,ORGP
*** Not Classified,"terra-mat failed with a stationary track hoe on it causing the trackhoe to sink in saturated soil.  at 3:00pm on crossingville road in albion pennsylvania, an equipment operator was tasked with digging ditch in an area of the project that was terra-matted due to saturated soil conditions in the travel lane.  the mats were double stacked in the area to improve integrity.  while the equipment was stationary on the mats, the trackhoe and mats both began to sink.  the equipment operator immediately shut down the equipment, and moved to a safe location.  the crew re-grouped and decided it was best to make an alternate mat route to avoid the saturated soil. added terra-mats around the affected area for equipment stability purposes.",ORGP
vehicle incident general,"non preventable, rental vehicle, minor damage, no injuries. the employee was driving on an icy road and was about to make a right turn to pull into a parking lot of a shopping center. the car slid a bit, causing the other vehicle behind to rear end the rear passenger side of the employee vehicle. no injuries reported. damaged was incurred on both vehicles. a report was filed by the employee with avis. information exchanged with 3rd party driver, incident reported to avis rental agency, hse coordinator, and hse manager.",ORGP
*** Not Classified,"failure to tape assumed asbestos flanged joints prior to destruct on the 11th february 2020 it was highlighted that a 4"" 150# ball valve destructed under the c2 leg pipework clearance scope. it was then removed from the worksite and placed in a skip for backload. this valve under the level 2 risk assessment was identified with the potential for asbestos and was to be controlled by taping the joints and cut each side of the flange to ensure no disturbance of the potential caf gasket. the valve was cold cut each side of the flange as per decom procedure but was removed without the flange joints being taped.  personnel were not exposed to the potential caf gasket as the flange had not been broken. valve was recovered from the incorrect skip, taped and will be back loaded under asbestos controls.individual within the work scope was interviewed and provided a witness statement giving his account of events. ",ORGP
"line of fire, slips & trips",hydraulic jack parted from pump shaft end migrated from legacy cairs incident #32100during jacking of coupling hub onto a pump shaft the bolts holding the jack onto the motor shaft stripped the threads of the pump holes.this threw the jack back from the force of the hydraulic pressure. personnel were not in the line of fire when this occurred.job was stopped with worksite made safe and incident reported through the line to immediate supervisor.this task was being conducted by vendor (john crane) with assistance only being provided by wg.technical investigation complete and attached along with procedure and drawings migrated from legacy cairs - see detailed description,ORGP
slips & trips,"same level fall while walking on asphalt facility road team member was walking from the fiberline area to the wood office complex along asphalt roadway and tripped when work boot gripped pavement, resulting in a same level fall, landing on their hip after attempting to catch themselves. actual severity rated as b3 as the individual received medical treatment, then surgery.  kept overnight in hospital after surgery. potential severity selected as b3 as a lost time injury did occur but unlikely that a more serious outcome could have resulted. team member contacted supervision and was escorted to the wood safety office for evaluation. occucare was contacted and the team member was taken to medical facility for review, where medical treatment was rendered.level 2 investigation team under tor was assigned.on march 9, 2021 - a disposition of recordability was approved for reclassify as non-work related incident.",ORGP
hand or arm injury,strain to left arm. employee reported a sore left hand/arm as a result of clearing weeds to prepare for archaeological unit excavation. employee contacted workcare and elected self care. ,ORGP
*** Not Classified,"missing key for client's office which was in the care of wood wood have been provided with a key to access a client's site so that water monitoring visits can be undertaken. it was discovered on the day that the second visit was to be undertaken that the key was not in the folder where it had previously been placed. all locations, home, car and offices have been searched but it has not been possible to locate the key. the site contact was immediately informed and the incident has been reported to the client's she desk as a security incident. an incident report is being produced for the client.",ORGP
