category,text,dset
near miss,during gas turbine start-up exhaust fumes were blown in the direction of the rope access team who were stood down. amecfw managed bp contractor  had to be temporarily stood down when the emergency generator unexpectedly started up. due to wind direction exhaust fumes were blown in the direction of the rope access team. rat stood down until source of fumes could be determined and preventative measures could be put in place. bp investigation commenced into mechanical fault of gas turbine start up. please note bp have not included the event as a 'near miss' but as a mechanical investigation. amecfw have requested to review the investigation when it is completed so alq project can be assured there is no potential for a reoccurrence. ,ORGP
covid,wood employee tested positive to covid-19 after having some symptoms employee has done the self test  which resulted positive all contacted persons tested negative. the employee is quarantined as per local law. a negative pcr is required to return to site,ORGP
"ppe non-compliance, hand or arm injury, knife incident","ip cut his finger with a pocketknife while removing the banding from a new choker.  the ip was opening a new choker that was encased in plastic wrap and had banding material on the inside. ip had gloves on but was having difficulty removing the plastic wrap with them on, so he removed his gloves. after the plastic wrap was removed, he used his pocketknife to cut the banding material off the choker. the pocketknife slipped and cut the ip’s finger causing a laceration. b2 potential was selected due to the ip not wearing gloves at the time of incident.  the incident was reported, first aid was applied, and axiom was notified. ",ORGP
covid,filipino ex-pat tested positive for covid-19 whilst completing onsite mandatory quarantine. ip is asymptomatic.  ip arrived in eg on the 5th of may and has been completing onsite mandatory quarantine. ip test positive on day 5 of quarantine. ip is asymptomatic.   ip will now be required to complete 14 night quarantine then be retested. ip will be monitored by onsite medical team and pm will maintain regular communication with ip to follow up on condition. ,ORGP
covid,employee was tested positive with covid-19. employee was tested positive with covid-19: employee had symptoms of covid-19. test results showed positive. employee is on self-isolation at home as per medical practitioner’s advice.  employee is on self-isolation at home as per medical practitioner’s advice. ,ORGP
*** Not Classified,theft of bag. migrated from legacy cairs incident #28844while on rotationa wgpsn employee was waiting at a bus stop when her bag was snatched. inside the bag was her site access card. the perpetrator was pursued but ran away.the report has been issued to the client (exxon mobil) and a new card requested.no injury to the employee. migrated from legacy cairs - see detailed description,ORGP
back injury,"sudden onset lumbar pain ip was tidying up welding cables at the end of his shift. he was kneeling and twisting at the same time when he felt a sudden, sharp pain in his lower back. this reduced after a few minutes and he was able to continue to the end of his shift. he didn’t report it at the time as he felt it would resolve but since going to work today, it has got increasingly worse. continued working, reported later. ",ORGP
foot or leg injury,painting/blasting hooch frame fell down during lunch break migrated from legacy cairs incident #34579crew was working on erecting hooch that is going to be utilized for blasting and painting onsite. the crew had completed erecting the frame of the hooch and went to take lunch. while returning from lunch it was discovered that the hooch had fallen over do to a light wind. the crew stood the hooch back up and secured it using stakes and anchor lines tied off to pipe so it would not happen again.no damage was done to the hooch and at the time that the hooch had blown over no personnel was in the immediate area. migrated from legacy cairs - see detailed description,ORGP
"foot or leg injury, lifting or moving loads",ip was walking down a row in a training room and hit foot on a computer monitor that was placed on the ground ip was walking down one of the rows in the training room when they struck their foot on a computer monitor that was sitting diagonally on the ground in the walkway. the ip had a small scratch on the left foot with some minor bruising.  a band aid was provided to cover the scratch and an ice pack provided to prevent swelling. an office services request was opened to request the relocation of the monitors.,ORGP
covid,a wood employee tested positive for covid-19  a wood employee received a positive covid-19 test result on 8/18/2021.  the wood employee was experiencing symptoms and scheduled a covid 19 test which was a positive result.  contact tracing has been completed. employee has self quarantined and has notified management.  wood on site management has conducted contact tracing and notification to client.  ,ORGP
mechanical or equipment issue,foreman noticed damage to suction hose to pump bay foreman was in test pile area when he noticed damage to a black suction hose to pump. bay foreman contacted supervisor and bay safety was notified along with wood safety. there were no witnesses for statements so time of incident is unknown at this time. investigation is ongoing.,ORGP
disease or infection,"wgpsn employee (non-immune) was diagnosed with malaria. the patient experienced a high fever and requested permission from his supervisor to attend the clinic. the patient was tested positive for malaria during the rapid test . his blood sample will be sent to ndj for confirmation.   investigation ongoing. the patient received treatment including coartem medication and left the clinic in a couple of hours after for his room. patient was advised to rest for the remained of 15th august 2019. patient will return to the clinic tomorrow morning of 16th, for assessment by the medical team.",ORGP
*** Not Classified,"the window glass of retro excavator was spontaneously fragmented  worker at the time of withdrawal from the excavation work south sector of project, proceed to take retro-excavator to the facilities of slaughter and once it descends of the machine and having walked a few meters feels a crunch in the window of the glass of the cabin , noticing that it had suddenly been fragmented. amec foster wheeler is immediately informed.falsh report preparedwitnesses are taken",ORGP
"covid, general illness or health issue","a wood employee of azeri branch has been tested positive to covid-19 the employee was last on site on the 18th novemneber when she felt unwell. she had some symptoms the 19th november and, after consulting with the doctor, she went to the clinic to do the test. this morning the results arrived confirming she's positive. contact tracing completed. 1 employee has been identified as closed contact (sharing the same office) and is now in isolation.",ORGP
"foot or leg injury, back injury",a wood lease operator strained his back while using a pipe wrench.  axiom was called. migrated from legacy cairs incident #36330the lease operator was repairing a water leg at the welles 42-2-4879 locationand was using a 24 inch pipe wrench to tighten a 2 inch fitting. while repairing the water leg he felt a pop in his lower back that caused minor pain. he reported the incident to his supervisor and to hse the next day. axiom was contacted and first aid measures were given. migrated from legacy cairs - see detailed description,ORGP
*** Not Classified,"during the installation of a scaffold guardrail around an opening in the second floor slab, a scaffold base collar fell down to the ground. during the installation of a scaffold guardrail around an opening in the second floor slab of n370, a scaffold base collar of 1,4 kg fell down, hitting the first walk on ceiling (fall height 3,5 m), then the base collar rebounded off the walk on ceiling below, and then it hit the ground floor. the walks on ceiling were non-walkable ceilings (off-limits to the workers). nobody was present on the ground floor where the base collar is fallen. wood immediately stop the activities of the company burk.investigation on going.",ORGP
