category,text,dset
alcohol or drugs,"person unaccounted for during platform alarm at approximately 10:30am on tuesday december 11th 2018. a complete platform alarm was raised in response to an emergency shutdown button being activated. personnel on the platform abandoned ampa06 via the gangway to jack up vessel, blue titanium.prior to personnel crossing the gangway they removed their t-card on the ap platform from the platform side t-card rack to the blue titanium side t-card rack to indicatethat they had left the platform. similarly, once on board blue titanium, the personnel removed their t-cards from the platform side to the blue titanium side to indicate thatthey were now on board blue titanium.after about 15 minutes from the alarm initially sounding it became apparent that all personnel except for one had changed their t-card on blue titanium. rope access technician.the amec fw pms superintendent then returned to ap platform to check the t-card rack there and discovered that the same person had also failed to turn his t-card there as well.due to this, it was decided to hold a full muster on board blue titanium and a search conducted on board for the unaccounted person. unaccounted persons work mates were consulted and they confirmed that he had been working with them earlier on the platform at amcp. bsp csr contacted the operators on board ampa06 to inform them that a person was unaccounted for.at about 11:30 the missing person was found by the operators (wops) on amcp. the wops escorted the missing person across the platform to blue titanium. he was later transferred back to shore where he undertook a drug test which returned a preliminary non negative result. formal result to be advised.",ORGP
*** Not Classified,a disgruntled person spreaking ill-mannered to receptionist. a disgruntled person appeared in reception area and was being belligerent while the receptionist was speaking on the phone. the receptionist asked him to leave and advised him that she would have to call security. the individual left the area.  the incident was reported to the building management and relevant amec foster wheeler personnel. the interim protocol for responding to the security issues at the reception was re-etirated once again to the receptionist untill more formal procedure is established.,ORGP
dropped object or material,"while transporting newly received paint on a trolley, the paint container dropped from trolley and it was reported about two litres of paint spilled on plant access road. migrated from legacy cairs incident #36423on 12th february 2018 around 10.30am upon receiving paints from a lorry, mechanical helper placed 10 number of paints stored in each 5 litres container onto a large trolley. the paint containers were each placed without stacking one another on the trolley. while pushing the trolley on plant access road to the storage area, one of the trolley wheel had rolled over a small granite aggregate and thereby causing one of the paint container to dropped off from the trolley and causing a spillage of about 2 litres on plant access road. the mechanical helper then immediately scooped the spilt paint into another empty container while the rest of the residual balance spillage on the plant access road was applied with absorbent pad. the paint did not spill into the nearby perimeter drain and it leaves about 1m2 area of stain on the plant access road. migrated from legacy cairs - see detailed description",ORGP
general illness or health issue,three (03) workers felt unwell during concrete casting of a 46m3 pump pad slab.  three (03) workers felt unwell during concrete casting of a 46m3 pump pad slab. the workers were transported to the project related clinic and received first aid care level assistance.  they received oral administered isotonic drinks for hydration the workers were transported to the project related clinic and received first aid care level assistance.  they received oral administered isotonic drinks for hydration.  all other workers at that location was replaced with other workers to finish the last truck concreting works,ORGP
covid,a wood employee has been tested positive to covid-19 a wood employee has been tested positive to covid-19. she was working from home since 12th october. no contact tracing has been necessary. no action required as she was working from home since 12th october. ,ORGP
*** Not Classified,"a technician stopped his job after discovering fibres in an old bitumen type coating on a pipe he was abrasive blasting inside a digester tank. sample taken and exclusion zone set up, investigation completed. migrated from legacy cairs incident #39752a dry blasting technician removing pipe coatings inside the digester noticed possible asbestos containing materials in the coating as it was being removed. a sample was tested and fount to contain chystolite asbestos. due to the potential for airborne fibres the works have been stopped and the area around the digester has been cordoned off. air monitoring &amp; surface swab testing have commenced. investigation completed by both mw &amp; wood, as attached. migrated from legacy cairs - see detailed description",ORGP
"mechanical or equipment issue, vehicle incident general","ready mix truck coming into contact with optic cable. no damage sustained to cable. lrm concrete truck driver drove pass the contractor gate 3 to make a u turn in order to discharge concrete for the newly installed turnstiles. during his u turn, the top of the concrete truck came into contact with an overhead cable. there was no damage to the cable. cdm to raise cables accordingly for tmm to pass under.",ORGP
covid,"employee tested positive for covid-19 the employee is considered positive for covid-19 by local health authorities having had close contact with his daughter tested positive for covid-19. he is quarantined at home due to mild symptoms and is being monitored by his medical coverage. has not had close contact with other wood employees, clients, or subcontractor due to the easter holiday.  the employee works from home regularly. employee is in quarantine as per health ministry of autonomous city of buenos aires guidelines",ORGP
covid,"managed contractor tested positive for covid-19 managed contractor tested positive for covid-19, via a pcr test. this is understood to be community transmission.  individual entered self isolation period, as per government guidance. ",ORGP
"general injury, hand or arm injury, vehicle incident general, foot or leg injury, slips & trips",ip struck his elbow against the airframe of the helicopter he was alighting from migrated from legacy cairs incident #34596ip struck his elbow against the airframe of the helicopter he was alighting from. he contacted the platform medic who advised him to return if his condition worsened. he completed his 2 week trip offshore and demobilised on his normal crew change day.note: late entry due to late notification from the client migrated from legacy cairs - see detailed description,ORGP
"general injury, vehicle incident general","employee rear ended on route to troxler lab for equipment calibration., minor neck pain the following day.  wood employee was transporting two densometers to troxler lab for calibration. during transportation (hwy 401 eb) wood’s fleet vehicle was rear-ended by another vehicle attempting to change lanes in stopped traffic. driver reported minor neck pain the next day and instructed to contact workcare. both drivers pulled to the side of the road to asses damage and exchange insurance.  incident was reported to the crso, who in turn notified the hsse director.  a survey meter was dispatched to scan the gauges, per emergency response procedures, and it was determined that there was no radiation detected that was outside of normal ranges, gauges were returned to licensed storage location that day.  the cnsc duty officer was notified of the mva involving the nuclear devices.",ORGP
covid,"three employees gemont tested positive to covid-19 three employees tested positive for covid-19 during routine checks ordered by the client (evonik). workers and their close contacts (54 co-workers that share the same building, room, flat or shuttle in gelsenkirchen, marl and mulheim) were immediately sent in quarantine. no other consequences.",ORGP
covid,"wood employee tested positive for covid (lft)  tested positive lft on the sat 5th feb but worked from accommodation for the rest of his time off, came back to work on the 15th feb 2022 after 2 negative lft tests on the 13th feb & 14th feb 2022 sayed and worked in lodge accommodation  and completed 2 negative lft tests before returning back to work on 15th february 2022",ORGP
*** Not Classified,silted water is evident in the craig burn and tributary below the access track.  silted water is evident in the craig burn and tributary below the access track crossing culverts. further investigation and any appropriate mitigation procedures will be carried out.   mitigation plan devised ,ORGP
"foot or leg injury, slips & trips","injured party felt a pain in their left knee. wood welder completed a weld run and turned and stepped back to walk away from the job, whilst doing so the ip felt a pain in their left knee. the ip was stood in an upright position whilst undertaking the task and did not strike against / into any object whilst carrying out this motion. the housekeeping in the immediate area was of a good standard with no trip hazards present. there were no issues with the  floor / ground condition.  the ip alerted his immediate supervisor. the client's onsite emergency responders were called and the ip was given first aid treatment, a support bandage was applied. the ip was advised to attend the local a&e and was transported there by a member of the wood site management team.",ORGP
covid,one wood employee tested positive for covid-19  one wood employee tested positive for covid-19 one wood employee tested positive for covid-19 while at home,ORGP
